filename,delete_batch_size,depth_of_graph,simple BFS,Adam_BFS,PR-RST module,CC,update datastr
GAP-road.egr,100,6262,1066.61,795.49,577.37,87.41,3.58
GAP-road.egr,100,6262,1030.13,796.99,577.48,88.76,3.59
GAP-road.egr,100,6262,1029.64,791.9,635.83,85.89,4.64
GAP-road.egr,100,6262,1029.83,799.04,576.69,87.74,3.66
GAP-road.egr,100,6262,1028.26,794.55,636.71,87.01,3.57
GAP-road.egr,1000,6262,1021.82,794.73,637.71,85.61,4.65
GAP-road.egr,1000,6262,939.84,804.3,577.48,91.65,4.63
GAP-road.egr,1000,6262,1066.69,792.37,641.23,82.18,4.63
GAP-road.egr,1000,6262,1173.4,803.99,641.11,85.67,4.63
GAP-road.egr,1000,6262,1072.91,817.98,578.94,91.11,3.4
GAP-road.egr,10000,6262,1031.42,792.85,578.08,87.51,3.57
GAP-road.egr,10000,6262,941.69,788.03,577.46,89.19,3.59
GAP-road.egr,10000,6262,1040.57,795.25,577.08,84.11,3.66
GAP-road.egr,10000,6262,1027.24,789.83,575.65,91.54,3.58
GAP-road.egr,10000,6262,1038.51,795.85,575.91,87.1,4.63
GAP-road.egr,100000,6262,1032.85,792.86,620.82,85.25,3.83
GAP-road.egr,100000,6262,941.23,796.72,579.26,89.02,4.64
GAP-road.egr,100000,6262,1027.73,790.51,577.05,82.3,3.59
GAP-road.egr,100000,6262,1036.2,796.91,636.08,82.21,3.59
GAP-road.egr,100000,6262,1048.8,797.2,638.89,82.08,3.59
