filename,delete_batch_size,depth_of_graph,PR-RST module,simple BFS,Adam_BFS,CC,update datastr
arabic-2005.egr,100,529,874.06,671.85,216.98,104.75,14.31
arabic-2005.egr,100,529,798.66,681.07,218.83,161.78,13.45
arabic-2005.egr,100,529,670.29,685.13,217.45,124.65,13.89
arabic-2005.egr,100,529,793.15,687.27,218.29,120.36,16.95
arabic-2005.egr,100,529,864.16,678.32,219.15,105.85,17.39
arabic-2005.egr,1000,529,725.0,694.5,218.46,125.89,12.49
arabic-2005.egr,1000,529,731.77,663.84,216.14,125.27,13.18
arabic-2005.egr,1000,529,790.37,698.53,217.67,117.54,12.67
arabic-2005.egr,1000,529,786.95,683.23,216.37,130.97,13.81
arabic-2005.egr,1000,529,721.83,692.18,220.28,111.25,12.46
arabic-2005.egr,10000,529,728.41,664.69,220.54,125.09,12.57
arabic-2005.egr,10000,529,791.38,705.71,219.26,125.68,12.57
arabic-2005.egr,10000,529,666.83,684.48,220.08,125.79,16.81
arabic-2005.egr,10000,529,608.89,668.14,217.3,112.01,15.47
arabic-2005.egr,10000,529,723.61,693.73,218.36,112.64,15.44
arabic-2005.egr,100000,529,856.74,701.95,220.89,137.75,11.47
arabic-2005.egr,100000,529,786.32,692.41,217.86,127.26,12.61
arabic-2005.egr,100000,529,655.86,687.96,217.57,125.53,12.3
arabic-2005.egr,100000,529,657.21,688.53,217.09,125.19,12.34
arabic-2005.egr,100000,529,790.93,677.96,216.73,110.99,11.36
