filename,delete_batch_size,depth_of_graph,Adam_BFS,simple BFS,PR-RST module,CC,update datastr
as-Skitter.egr,100,757,77.14,42.76,7.01,6.0,2.26
as-Skitter.egr,100,757,77.02,41.82,7.02,5.05,2.39
as-Skitter.egr,100,757,77.51,42.84,7.03,5.08,2.37
as-Skitter.egr,100,757,77.23,41.94,7.0,7.9,2.28
as-Skitter.egr,100,757,77.36,43.55,6.99,6.68,2.29
as-Skitter.egr,1000,757,77.0,43.06,10.76,5.74,2.32
as-Skitter.egr,1000,757,76.91,43.93,10.72,7.4,2.29
as-Skitter.egr,1000,757,76.3,42.83,10.72,6.37,2.32
as-Skitter.egr,1000,757,76.35,40.77,10.76,7.6,2.6
as-Skitter.egr,1000,757,76.65,41.8,6.96,6.59,2.28
as-Skitter.egr,10000,757,76.13,42.96,10.72,6.65,2.29
as-Skitter.egr,10000,757,76.84,42.25,10.79,6.27,2.25
as-Skitter.egr,10000,757,76.66,42.23,10.73,5.93,3.03
as-Skitter.egr,10000,757,77.15,42.39,10.79,6.13,2.33
as-Skitter.egr,10000,757,78.3,42.64,10.79,5.23,2.32
as-Skitter.egr,100000,757,77.37,43.54,10.85,6.9,3.43
as-Skitter.egr,100000,757,76.85,40.66,10.74,5.02,2.37
as-Skitter.egr,100000,757,76.24,40.64,10.7,6.27,2.33
as-Skitter.egr,100000,757,77.01,41.68,10.72,4.66,2.33
as-Skitter.egr,100000,757,76.42,42.62,10.7,4.37,2.31
