filename,delete_batch_size,depth_of_graph,simple BFS,PR-RST module,Adam_BFS,CC,update datastr
coPapersDBLP.egr,100,15,10.76,9.99,4.98,2.7,2.51
coPapersDBLP.egr,100,15,10.68,8.31,4.96,4.05,2.38
coPapersDBLP.egr,100,15,10.47,8.28,4.94,3.51,2.39
coPapersDBLP.egr,100,15,10.78,8.25,5.02,3.83,2.49
coPapersDBLP.egr,100,15,10.74,8.29,5.03,3.26,2.39
coPapersDBLP.egr,1000,15,11.17,10.1,4.96,2.66,2.39
coPapersDBLP.egr,1000,15,10.39,8.35,4.93,3.78,2.5
coPapersDBLP.egr,1000,15,10.72,8.3,5.03,3.43,2.38
coPapersDBLP.egr,1000,15,11.34,8.71,5.16,3.27,2.41
coPapersDBLP.egr,1000,15,11.15,10.13,4.98,2.37,2.39
coPapersDBLP.egr,10000,15,10.95,8.38,5.01,3.93,2.5
coPapersDBLP.egr,10000,15,11.16,6.62,4.96,3.85,2.44
coPapersDBLP.egr,10000,15,10.89,8.36,5.0,3.58,2.4
coPapersDBLP.egr,10000,15,11.04,8.4,5.04,2.8,2.4
coPapersDBLP.egr,10000,15,10.7,8.5,4.97,3.01,2.44
coPapersDBLP.egr,100000,15,10.75,9.94,4.97,3.28,2.76
coPapersDBLP.egr,100000,15,10.64,8.3,5.07,3.72,2.46
coPapersDBLP.egr,100000,15,10.7,8.39,5.06,2.63,3.58
coPapersDBLP.egr,100000,15,10.99,8.26,4.99,3.35,2.44
coPapersDBLP.egr,100000,15,10.65,10.03,5.05,3.76,2.58
