filename,delete_batch_size,depth_of_graph,simple BFS,Adam_BFS,CC,PR-RST module,update datastr
com-Orkut.egr,100,8,59.45,29.86,29.4,23.91,5.94
com-Orkut.egr,100,8,57.58,29.82,20.77,23.46,7.03
com-Orkut.egr,100,8,60.29,29.68,37.12,23.73,4.98
com-Orkut.egr,100,8,60.34,29.78,26.24,23.94,6.07
com-Orkut.egr,100,8,60.62,29.75,18.67,23.42,8.1
com-Orkut.egr,1000,8,60.41,30.02,24.11,23.22,6.01
com-Orkut.egr,1000,8,59.37,30.03,23.65,23.48,4.97
com-Orkut.egr,1000,8,60.1,29.89,19.99,23.12,5.93
com-Orkut.egr,1000,8,60.46,29.74,24.71,23.19,5.95
com-Orkut.egr,1000,8,59.2,29.92,18.61,23.76,7.0
com-Orkut.egr,10000,8,57.55,31.12,19.36,23.12,5.95
com-Orkut.egr,10000,8,57.66,29.71,32.92,32.26,6.05
com-Orkut.egr,10000,8,57.05,30.02,41.34,23.28,5.95
com-Orkut.egr,10000,8,57.54,29.97,25.29,33.11,4.89
com-Orkut.egr,10000,8,58.95,29.83,23.38,23.27,6.99
com-Orkut.egr,100000,8,60.34,30.09,34.57,33.98,5.97
com-Orkut.egr,100000,8,60.1,31.54,37.58,34.37,4.92
com-Orkut.egr,100000,8,60.29,29.88,25.74,31.9,8.08
com-Orkut.egr,100000,8,60.27,30.82,40.81,33.18,4.93
com-Orkut.egr,100000,8,57.49,29.83,34.25,31.48,6.31
