filename,delete_batch_size,depth_of_graph,simple BFS,PR-RST module,Adam_BFS,CC,update datastr
delaunay_n24.egr,100,1651,596.14,372.36,216.52,45.71,4.94
delaunay_n24.egr,100,1651,495.77,375.13,223.27,37.92,5.0
delaunay_n24.egr,100,1651,500.73,414.79,219.66,37.95,4.95
delaunay_n24.egr,100,1651,496.0,374.4,221.27,43.16,4.98
delaunay_n24.egr,100,1651,502.59,414.33,218.53,48.23,4.96
delaunay_n24.egr,1000,1651,497.03,415.72,218.86,38.64,4.95
delaunay_n24.egr,1000,1651,500.54,375.44,216.65,43.8,4.94
delaunay_n24.egr,1000,1651,499.92,415.35,217.81,41.26,4.96
delaunay_n24.egr,1000,1651,501.01,415.12,219.73,41.4,6.0
delaunay_n24.egr,1000,1651,500.4,375.3,217.18,46.42,5.0
delaunay_n24.egr,10000,1651,532.32,413.54,220.94,46.44,3.92
delaunay_n24.egr,10000,1651,541.55,372.7,222.63,57.02,4.95
delaunay_n24.egr,10000,1651,495.67,414.15,222.77,38.71,4.95
delaunay_n24.egr,10000,1651,688.37,371.47,223.28,45.66,3.97
delaunay_n24.egr,10000,1651,610.64,373.02,224.99,41.39,4.95
delaunay_n24.egr,100000,1651,536.85,372.32,216.21,53.51,4.95
delaunay_n24.egr,100000,1651,591.02,415.5,217.42,38.64,6.02
delaunay_n24.egr,100000,1651,542.3,412.26,224.54,41.28,4.99
delaunay_n24.egr,100000,1652,534.21,374.11,221.33,41.3,4.98
delaunay_n24.egr,100000,1651,544.67,411.33,222.72,43.16,5.05
