filename,delete_batch_size,depth_of_graph,simple BFS,PR-RST module,Adam_BFS,CC,update datastr
eu-2005.egr,100,17,60.7,15.23,6.49,3.36,2.93
eu-2005.egr,100,17,60.24,13.01,6.36,3.12,2.92
eu-2005.egr,100,17,58.47,12.96,6.4,3.27,2.94
eu-2005.egr,100,17,60.7,15.17,6.41,3.16,2.97
eu-2005.egr,100,17,59.49,15.17,6.4,3.16,2.91
eu-2005.egr,1000,17,60.34,15.18,6.45,2.86,2.96
eu-2005.egr,1000,17,61.68,17.31,6.43,3.08,2.96
eu-2005.egr,1000,17,61.82,15.09,6.45,3.56,2.96
eu-2005.egr,1000,17,59.44,15.08,6.51,2.86,2.99
eu-2005.egr,1000,17,61.66,17.42,6.5,3.36,3.02
eu-2005.egr,10000,17,59.2,17.29,6.47,3.53,2.96
eu-2005.egr,10000,17,59.53,12.86,6.4,3.5,3.02
eu-2005.egr,10000,17,63.41,12.89,6.41,3.2,3.05
eu-2005.egr,10000,17,60.25,17.3,6.41,3.53,2.99
eu-2005.egr,10000,17,59.4,15.19,6.41,3.55,3.0
eu-2005.egr,100000,17,59.44,17.4,6.47,2.42,3.16
eu-2005.egr,100000,17,59.89,15.15,6.54,2.39,3.13
eu-2005.egr,100000,17,59.44,12.99,6.47,3.52,2.9
eu-2005.egr,100000,17,61.88,17.31,6.42,2.82,3.0
eu-2005.egr,100000,17,59.11,12.93,6.4,2.88,2.87
