filename,delete_batch_size,depth_of_graph,simple BFS,Adam_BFS,PR-RST module,CC,update datastr
europe_osm.egr,100,17346,4133.83,2099.42,1127.15,183.16,5.0
europe_osm.egr,100,17346,4104.99,2111.37,1126.03,187.75,4.97
europe_osm.egr,100,17346,4110.34,2093.63,1134.44,190.61,5.0
europe_osm.egr,100,17346,4120.99,2142.38,1131.71,183.18,5.0
europe_osm.egr,100,17346,4103.84,2124.77,1127.46,174.38,5.01
europe_osm.egr,1000,17346,4098.4,2107.22,1120.78,203.32,5.0
europe_osm.egr,1000,17346,4108.32,2107.27,1125.12,189.85,5.0
europe_osm.egr,1000,17346,4161.49,2105.28,1121.1,169.0,4.99
europe_osm.egr,1000,17346,4114.3,2130.22,1130.27,192.65,5.01
europe_osm.egr,1000,17346,4108.47,2115.03,1129.27,184.21,3.71
europe_osm.egr,10000,17346,4120.32,2094.17,1129.29,191.51,5.0
europe_osm.egr,10000,17346,4247.32,2138.53,1129.06,176.61,5.01
europe_osm.egr,10000,17346,4152.99,2104.17,1122.55,191.58,5.0
europe_osm.egr,10000,17348,4148.66,2111.75,1127.16,184.06,5.03
europe_osm.egr,10000,17346,4101.59,2108.16,1125.84,205.17,5.0
europe_osm.egr,100000,17346,4107.84,2101.05,1130.29,175.81,5.01
europe_osm.egr,100000,17360,4112.98,2170.28,1126.44,190.76,5.01
europe_osm.egr,100000,17391,4117.06,2100.86,1120.74,184.57,5.1
europe_osm.egr,100000,17352,4148.14,2149.78,1134.72,184.36,5.02
europe_osm.egr,100000,17348,4110.36,2127.75,1273.89,184.27,5.01
