filename,delete_batch_size,depth_of_graph,Adam_BFS,simple BFS,PR-RST module,CC,update datastr
germany_osm.egr,100,4620,576.09,534.09,194.76,36.77,2.37
germany_osm.egr,100,4620,579.4,519.19,194.85,38.46,2.47
germany_osm.egr,100,4620,581.44,540.76,195.03,36.79,2.34
germany_osm.egr,100,4620,577.66,530.78,194.77,38.41,2.37
germany_osm.egr,100,4620,579.32,518.82,194.65,36.85,2.64
germany_osm.egr,1000,4620,573.38,529.49,194.28,34.77,2.37
germany_osm.egr,1000,4620,573.86,531.47,193.68,39.96,2.47
germany_osm.egr,1000,4620,577.48,521.23,193.86,44.94,2.64
germany_osm.egr,1000,4620,576.09,532.42,194.09,36.64,2.35
germany_osm.egr,1000,4620,575.0,523.5,194.75,43.24,2.33
germany_osm.egr,10000,4620,599.57,531.59,194.46,36.59,2.99
germany_osm.egr,10000,4620,582.17,564.98,194.19,34.93,4.97
germany_osm.egr,10000,4620,576.22,533.56,194.89,36.59,2.58
germany_osm.egr,10000,4620,576.33,552.35,221.4,38.25,2.47
germany_osm.egr,10000,4620,577.08,531.12,194.55,36.63,2.47
germany_osm.egr,100000,4620,584.47,517.61,194.85,38.37,3.05
germany_osm.egr,100000,4620,577.32,523.13,195.29,40.19,3.08
germany_osm.egr,100000,4620,578.7,529.96,194.44,36.88,3.05
germany_osm.egr,100000,4620,578.55,522.96,194.97,43.53,3.12
germany_osm.egr,100000,4620,577.88,527.41,206.75,48.45,3.09
