filename,delete_batch_size,depth_of_graph,Adam_BFS,simple BFS,PR-RST module,CC,update datastr
hollywood-2009.egr,100,44508,4801.81,716.18,22.1,8.76,4.01
hollywood-2009.egr,100,44508,5002.97,721.13,25.66,8.76,4.99
hollywood-2009.egr,100,44508,4722.74,716.66,22.21,8.61,5.05
hollywood-2009.egr,100,44508,4824.54,715.59,25.63,8.23,3.99
hollywood-2009.egr,100,44508,5031.32,713.92,32.13,8.2,4.02
hollywood-2009.egr,1000,44508,4895.77,712.46,25.55,8.43,4.01
hollywood-2009.egr,1000,44508,4795.03,714.99,25.53,7.91,4.0
hollywood-2009.egr,1000,44508,4765.11,715.87,25.53,8.85,4.0
hollywood-2009.egr,1000,44508,4830.43,716.59,28.8,9.98,3.99
hollywood-2009.egr,1000,44508,4924.51,713.57,25.91,10.03,4.01
hollywood-2009.egr,10000,44508,4816.13,714.88,25.59,10.17,3.98
hollywood-2009.egr,10000,44508,4671.27,713.34,25.52,7.36,4.01
hollywood-2009.egr,10000,44508,4733.67,715.83,22.02,6.98,4.01
hollywood-2009.egr,10000,44508,5041.42,715.5,28.9,7.08,4.04
hollywood-2009.egr,10000,44508,5140.66,712.88,25.36,10.2,4.0
hollywood-2009.egr,100000,44508,4799.66,715.04,25.66,6.72,5.05
hollywood-2009.egr,100000,44508,4971.86,709.51,22.46,8.73,5.08
hollywood-2009.egr,100000,44508,4851.57,715.99,25.55,6.14,5.04
hollywood-2009.egr,100000,44508,4703.93,716.91,29.13,10.64,3.99
hollywood-2009.egr,100000,44508,4733.6,712.55,25.9,7.84,3.99
