filename,delete_batch_size,depth_of_graph,simple BFS,Adam_BFS,PR-RST module,CC,update datastr
hugebubbles-00020.egr,100,4500,1047.45,578.84,451.99,72.66,4.69
hugebubbles-00020.egr,100,4500,1156.15,579.19,451.86,62.52,4.68
hugebubbles-00020.egr,100,4500,1162.57,581.84,452.16,72.34,4.72
hugebubbles-00020.egr,100,4500,1162.59,581.77,504.03,65.62,4.67
hugebubbles-00020.egr,100,4500,1115.57,575.41,453.19,78.65,4.68
hugebubbles-00020.egr,1000,4500,1108.83,571.58,452.14,68.93,4.67
hugebubbles-00020.egr,1000,4500,1104.55,574.74,502.87,62.89,4.67
hugebubbles-00020.egr,1000,4500,1100.32,577.15,454.3,72.71,4.69
hugebubbles-00020.egr,1000,4500,1099.56,575.02,454.45,74.41,4.68
hugebubbles-00020.egr,1000,4500,1031.34,575.55,453.05,69.53,4.71
hugebubbles-00020.egr,10000,4500,1056.73,578.55,504.39,66.11,3.62
hugebubbles-00020.egr,10000,4500,1116.65,580.42,451.92,69.5,4.67
hugebubbles-00020.egr,10000,4500,1087.15,575.33,451.82,66.27,4.67
hugebubbles-00020.egr,10000,4501,1092.52,576.6,452.95,66.14,3.62
hugebubbles-00020.egr,10000,4500,955.97,585.68,460.13,63.16,4.68
hugebubbles-00020.egr,100000,4503,1060.24,580.21,453.33,65.75,4.68
hugebubbles-00020.egr,100000,4502,968.49,586.9,452.96,66.29,3.63
hugebubbles-00020.egr,100000,4501,959.57,581.39,503.85,66.26,3.63
hugebubbles-00020.egr,100000,4501,1052.89,581.1,451.69,69.4,3.64
hugebubbles-00020.egr,100000,4502,1159.69,578.72,453.79,66.2,4.7
