filename,delete_batch_size,depth_of_graph,simple BFS,PR-RST module,Adam_BFS,CC,update datastr
in-2004.egr,100,136,44.09,25.83,18.32,4.42,2.65
in-2004.egr,100,136,44.13,41.72,18.3,4.41,2.72
in-2004.egr,100,136,44.85,32.21,18.3,4.94,2.66
in-2004.egr,100,136,45.05,38.63,18.3,4.15,2.68
in-2004.egr,100,136,45.28,35.39,18.26,4.92,2.75
in-2004.egr,1000,136,43.98,29.04,18.39,4.24,2.66
in-2004.egr,1000,136,44.24,29.07,18.31,4.49,2.68
in-2004.egr,1000,136,44.8,35.59,18.38,4.98,2.69
in-2004.egr,1000,136,44.07,25.92,18.42,3.96,3.05
in-2004.egr,1000,136,43.03,35.6,18.45,4.46,2.64
in-2004.egr,10000,136,45.13,32.28,18.33,5.0,2.59
in-2004.egr,10000,136,43.55,29.09,18.38,4.25,2.49
in-2004.egr,10000,136,44.47,38.75,18.29,4.22,2.79
in-2004.egr,10000,136,43.1,32.34,18.39,4.49,5.17
in-2004.egr,10000,136,44.74,38.67,18.22,5.22,2.71
in-2004.egr,100000,136,45.42,28.91,18.8,4.23,2.65
in-2004.egr,100000,136,43.4,32.27,18.27,5.43,2.48
in-2004.egr,100000,136,43.88,29.01,18.31,4.88,2.53
in-2004.egr,100000,136,44.24,35.31,18.24,3.68,2.54
in-2004.egr,100000,136,43.54,46.73,18.38,14.63,2.54
