filename,delete_batch_size,depth_of_graph,simple BFS,PR-RST module,Adam_BFS,CC,update datastr
indochina-2004.egr,100,297,225.35,187.0,77.81,33.97,6.45
indochina-2004.egr,100,297,221.61,209.27,73.05,39.44,6.42
indochina-2004.egr,100,297,225.55,190.67,73.13,35.3,6.5
indochina-2004.egr,100,297,224.76,190.38,73.81,38.72,6.46
indochina-2004.egr,100,297,229.26,173.96,73.13,31.44,6.44
indochina-2004.egr,1000,297,226.36,190.43,73.17,35.65,6.44
indochina-2004.egr,1000,297,226.7,190.03,76.24,39.88,6.44
indochina-2004.egr,1000,297,216.82,171.53,77.08,35.48,6.45
indochina-2004.egr,1000,297,217.98,208.05,75.69,39.39,6.48
indochina-2004.egr,1000,297,222.49,230.3,73.04,39.67,6.46
indochina-2004.egr,10000,297,227.75,248.68,74.24,32.1,6.46
indochina-2004.egr,10000,297,225.09,208.51,74.65,35.04,6.48
indochina-2004.egr,10000,297,220.81,190.91,74.2,47.95,6.46
indochina-2004.egr,10000,297,223.28,190.19,76.98,32.07,6.43
indochina-2004.egr,10000,297,226.98,230.63,73.15,32.12,6.48
indochina-2004.egr,100000,297,230.16,209.05,76.63,35.65,6.44
indochina-2004.egr,100000,297,219.51,226.87,77.01,34.16,6.47
indochina-2004.egr,100000,297,221.34,231.44,74.92,35.3,6.45
indochina-2004.egr,100000,297,220.29,207.75,78.01,37.96,10.7
indochina-2004.egr,100000,297,222.85,230.3,74.51,33.5,6.47
