filename,delete_batch_size,depth_of_graph,simple BFS,Adam_BFS,PR-RST module,CC,update datastr
kmer_U1a.egr,100,44147,12129.37,5169.0,2259.06,489.85,5.27
kmer_U1a.egr,100,44147,12249.6,4903.8,2264.58,482.05,3.93
kmer_U1a.egr,100,44147,12061.61,5109.86,2028.42,466.37,5.22
kmer_U1a.egr,100,44147,12163.28,4762.91,2249.49,502.56,5.22
kmer_U1a.egr,100,44147,12179.03,4783.24,2242.19,499.45,4.18
kmer_U1a.egr,1000,44147,12111.1,5086.42,2253.45,499.89,5.23
kmer_U1a.egr,1000,44147,12111.04,4962.72,2236.11,507.71,5.21
kmer_U1a.egr,1000,44147,12080.93,4933.67,2249.93,513.78,4.18
kmer_U1a.egr,1000,44147,12015.51,5035.5,2231.8,470.55,5.23
kmer_U1a.egr,1000,44147,12159.62,4923.58,2241.72,493.31,5.26
kmer_U1a.egr,10000,44147,12147.22,4907.1,2248.0,467.47,5.23
kmer_U1a.egr,10000,44147,12091.89,5190.59,2257.55,527.93,5.28
kmer_U1a.egr,10000,44147,12112.37,4923.24,2038.56,471.95,4.23
kmer_U1a.egr,10000,44147,12113.0,5258.42,2242.9,533.19,4.25
kmer_U1a.egr,10000,44147,12129.62,5010.01,2250.15,508.33,4.19
kmer_U1a.egr,100000,44147,12106.79,5150.98,2243.04,494.15,5.24
kmer_U1a.egr,100000,44147,12247.59,5038.89,2041.44,521.66,5.29
kmer_U1a.egr,100000,44147,12133.21,5126.52,2240.17,492.36,5.23
kmer_U1a.egr,100000,44147,12218.22,5050.16,2046.22,535.29,4.27
kmer_U1a.egr,100000,44147,12253.43,5282.55,2057.05,518.34,5.9
