filename,delete_batch_size,depth_of_graph,simple BFS,Adam_BFS,PR-RST module,CC,update datastr
kmer_V2a.egr,100,15373,3662.06,1740.18,1520.74,382.99,5.11
kmer_V2a.egr,100,15373,3632.38,1697.55,1520.49,312.52,5.11
kmer_V2a.egr,100,15373,3672.34,1649.82,1520.13,315.05,5.11
kmer_V2a.egr,100,15373,3655.23,1696.2,1518.67,315.9,5.09
kmer_V2a.egr,100,15373,3634.4,1643.62,1535.04,342.95,5.1
kmer_V2a.egr,1000,15373,3647.36,1656.86,1520.85,320.39,5.08
kmer_V2a.egr,1000,15373,3636.23,1660.09,1523.08,295.92,5.08
kmer_V2a.egr,1000,15373,3632.17,1748.08,1519.27,336.14,5.09
kmer_V2a.egr,1000,15373,3641.05,1702.67,1520.53,295.42,5.08
kmer_V2a.egr,1000,15373,3670.18,1630.07,1522.88,356.07,5.08
kmer_V2a.egr,10000,15373,3613.61,1732.39,1524.44,349.66,5.08
kmer_V2a.egr,10000,15373,3695.73,1654.94,1521.3,315.47,5.12
kmer_V2a.egr,10000,15373,3653.29,1771.63,1521.53,320.29,5.07
kmer_V2a.egr,10000,15373,3616.41,1662.72,1522.43,337.44,5.1
kmer_V2a.egr,10000,15373,3635.19,1661.86,1521.59,315.05,5.13
kmer_V2a.egr,100000,15373,3640.23,1689.16,1517.35,385.3,5.07
kmer_V2a.egr,100000,15373,3642.57,1628.42,1517.09,311.81,5.11
kmer_V2a.egr,100000,15373,3652.53,1637.98,1518.56,308.49,5.1
kmer_V2a.egr,100000,15373,3612.12,1639.56,1519.05,354.29,5.18
kmer_V2a.egr,100000,15373,3656.22,1651.72,1517.31,309.21,4.04
