filename,delete_batch_size,depth_of_graph,Adam_BFS,simple BFS,PR-RST module,CC,update datastr
kron_g500-logn18.egr,100,51997,5731.93,707.22,12.13,4.63,2.36
kron_g500-logn18.egr,100,51997,5675.57,735.66,10.6,3.14,2.73
kron_g500-logn18.egr,100,51997,5748.84,708.1,7.78,2.63,2.53
kron_g500-logn18.egr,100,51997,5750.45,714.74,8.27,2.46,2.66
kron_g500-logn18.egr,100,51997,5698.93,697.42,9.94,3.97,2.62
kron_g500-logn18.egr,1000,51997,5747.17,688.46,4.89,3.32,2.63
kron_g500-logn18.egr,1000,51997,5598.82,698.12,7.67,4.06,2.67
kron_g500-logn18.egr,1000,51997,5694.98,690.03,7.53,2.5,2.63
kron_g500-logn18.egr,1000,51997,5662.89,739.71,6.3,4.53,2.68
kron_g500-logn18.egr,1000,51997,5674.62,678.16,9.42,2.87,2.65
kron_g500-logn18.egr,10000,51997,5573.23,705.37,5.97,2.02,2.48
kron_g500-logn18.egr,10000,51997,5859.14,710.17,6.01,3.25,2.51
kron_g500-logn18.egr,10000,51997,5831.54,748.01,6.88,3.7,2.41
kron_g500-logn18.egr,10000,51997,5803.44,699.8,6.77,3.42,2.39
kron_g500-logn18.egr,10000,51997,5580.05,691.61,5.27,2.96,2.35
kron_g500-logn18.egr,100000,51997,5674.04,682.66,4.95,2.71,2.51
kron_g500-logn18.egr,100000,51997,5654.56,735.62,6.57,3.79,2.66
kron_g500-logn18.egr,100000,51997,5730.85,677.46,7.23,3.34,2.49
kron_g500-logn18.egr,100000,51997,5707.71,723.22,7.28,4.01,2.58
kron_g500-logn18.egr,100000,51997,5596.09,728.13,7.67,3.36,2.58
