filename,delete_batch_size,depth_of_graph,Adam_BFS,simple BFS,PR-RST module,update datastr,CC
kron_g500-logn19.egr,100,115140,13582.75,1606.29,16.65,3.88,3.02
kron_g500-logn19.egr,100,115140,13430.48,1566.88,17.35,4.16,3.18
kron_g500-logn19.egr,100,115140,12780.14,1561.93,15.31,9.69,5.6
kron_g500-logn19.egr,100,115140,12560.42,1556.98,17.23,4.09,4.08
kron_g500-logn19.egr,100,115140,14059.69,1555.31,12.57,3.77,6.06
kron_g500-logn19.egr,1000,115140,13692.02,1555.83,16.51,3.79,4.41
kron_g500-logn19.egr,1000,115140,13946.98,1564.0,11.61,4.24,5.3
kron_g500-logn19.egr,1000,115140,13746.97,1587.26,13.51,4.62,6.24
kron_g500-logn19.egr,1000,115140,13865.12,1562.01,10.98,3.78,5.91
kron_g500-logn19.egr,1000,115140,13506.09,1555.1,14.45,3.77,5.95
kron_g500-logn19.egr,10000,115140,14187.34,1568.55,16.4,3.78,4.11
kron_g500-logn19.egr,10000,115140,14031.31,1595.79,13.38,4.12,7.1
kron_g500-logn19.egr,10000,115140,14227.89,1567.29,11.24,3.79,6.48
kron_g500-logn19.egr,10000,115140,13242.75,1604.2,12.98,3.77,4.76
kron_g500-logn19.egr,10000,115140,13831.53,1570.11,13.9,4.5,5.59
kron_g500-logn19.egr,100000,115140,14308.61,1578.81,12.74,4.6,5.0
kron_g500-logn19.egr,100000,115140,14067.04,1563.67,12.92,3.81,4.81
kron_g500-logn19.egr,100000,115140,13093.27,1561.06,16.43,3.81,4.81
kron_g500-logn19.egr,100000,115140,13809.33,1567.24,13.13,3.93,3.67
kron_g500-logn19.egr,100000,115140,14303.15,1616.0,11.16,3.99,6.71
