filename,delete_batch_size,depth_of_graph,simple BFS,Adam_BFS,PR-RST module,CC,update datastr
rgg_n_2_24_s0.egr,100,2622,1010.36,362.52,343.47,42.3,6.17
rgg_n_2_24_s0.egr,100,2622,1022.13,358.25,259.84,42.9,6.2
rgg_n_2_24_s0.egr,100,2622,1015.66,362.81,257.23,45.92,6.17
rgg_n_2_24_s0.egr,100,2622,1011.74,359.51,260.8,42.82,6.24
rgg_n_2_24_s0.egr,100,2622,1011.84,368.59,388.91,38.93,6.26
rgg_n_2_24_s0.egr,1000,2622,1010.85,401.84,258.28,38.65,6.2
rgg_n_2_24_s0.egr,1000,2622,1014.43,367.31,259.53,42.14,6.16
rgg_n_2_24_s0.egr,1000,2622,1031.12,360.3,258.49,41.98,6.18
rgg_n_2_24_s0.egr,1000,2622,1023.28,359.27,259.82,45.73,6.21
rgg_n_2_24_s0.egr,1000,2622,1019.4,370.22,303.1,42.26,6.17
rgg_n_2_24_s0.egr,10000,2622,1020.78,362.52,300.88,38.47,6.22
rgg_n_2_24_s0.egr,10000,2622,1017.68,356.53,259.52,45.63,6.18
rgg_n_2_24_s0.egr,10000,2622,1027.18,367.35,258.28,42.26,6.16
rgg_n_2_24_s0.egr,10000,2622,1030.92,361.37,256.82,45.13,6.16
rgg_n_2_24_s0.egr,10000,2622,1014.49,357.52,260.69,38.36,6.21
rgg_n_2_24_s0.egr,100000,2623,1094.98,356.13,345.1,38.73,6.24
rgg_n_2_24_s0.egr,100000,2623,1052.02,355.88,260.15,42.03,5.22
rgg_n_2_24_s0.egr,100000,2623,1032.23,369.49,259.06,42.18,6.15
rgg_n_2_24_s0.egr,100000,2622,1038.7,360.1,259.08,42.0,6.22
rgg_n_2_24_s0.egr,100000,2622,1012.94,362.3,258.56,38.83,6.24
