filename,delete_batch_size,depth_of_graph,Adam_BFS,simple BFS,PR-RST module,CC,update datastr
sx-stackoverflow.egr,100,23580,2343.72,466.68,38.75,9.12,4.62
sx-stackoverflow.egr,100,23580,2377.96,465.91,39.52,8.53,4.62
sx-stackoverflow.egr,100,23580,2371.76,467.37,39.03,14.74,4.62
sx-stackoverflow.egr,100,23580,2530.75,467.63,32.98,10.62,4.68
sx-stackoverflow.egr,100,23580,2343.16,466.33,39.04,14.26,4.62
sx-stackoverflow.egr,1000,23580,2378.69,466.49,33.39,10.92,4.62
sx-stackoverflow.egr,1000,23580,2462.41,467.33,39.45,13.16,4.62
sx-stackoverflow.egr,1000,23580,2339.66,465.85,33.05,11.69,4.63
sx-stackoverflow.egr,1000,23580,2328.4,467.57,38.88,8.72,4.64
sx-stackoverflow.egr,1000,23580,2326.58,468.87,38.74,13.69,4.62
sx-stackoverflow.egr,10000,23580,2353.11,469.06,33.74,11.08,4.63
sx-stackoverflow.egr,10000,23580,2368.13,468.94,33.74,15.49,4.62
sx-stackoverflow.egr,10000,23580,2350.41,469.7,39.43,10.94,4.62
sx-stackoverflow.egr,10000,23580,2330.18,467.9,33.46,10.26,4.63
sx-stackoverflow.egr,10000,23580,2342.9,470.67,33.52,10.07,5.21
sx-stackoverflow.egr,100000,23580,2507.83,470.6,38.64,17.17,4.63
sx-stackoverflow.egr,100000,23580,2388.52,468.83,34.38,13.06,4.68
sx-stackoverflow.egr,100000,23580,2396.73,485.81,35.0,18.42,4.66
sx-stackoverflow.egr,100000,23580,2389.46,468.34,39.53,17.5,4.66
sx-stackoverflow.egr,100000,23580,2510.85,470.38,33.19,10.45,4.65
