filename,delete_batch_size,depth_of_graph,Adam_BFS,simple BFS,PR-RST module,CC,update datastr
uk-2002.egr,100,38359,4145.19,3508.53,572.51,79.65,7.07
uk-2002.egr,100,38359,4323.32,3481.05,572.62,69.22,8.09
uk-2002.egr,100,38359,4194.33,3502.47,472.93,62.64,8.11
uk-2002.egr,100,38359,4156.8,3478.97,679.04,71.04,9.71
uk-2002.egr,100,38359,4138.01,3518.43,582.35,80.24,10.55
uk-2002.egr,1000,38359,4252.95,3498.16,571.89,88.71,7.01
uk-2002.egr,1000,38359,4262.66,3463.03,569.48,66.77,7.0
uk-2002.egr,1000,38359,4242.5,3510.84,519.41,80.17,7.02
uk-2002.egr,1000,38359,4199.76,3466.12,616.46,62.1,7.0
uk-2002.egr,1000,38359,4274.47,3483.64,570.16,79.8,8.16
uk-2002.egr,10000,38359,4089.17,3492.69,567.87,80.1,7.09
uk-2002.egr,10000,38359,4170.25,3532.46,670.62,66.21,7.08
uk-2002.egr,10000,38359,4164.13,3493.15,567.94,73.73,7.03
uk-2002.egr,10000,38359,4214.41,3487.99,669.52,70.67,8.09
uk-2002.egr,10000,38359,4101.48,3465.28,568.0,80.79,8.15
uk-2002.egr,100000,38359,4100.66,3462.0,570.72,66.16,9.4
uk-2002.egr,100000,38359,4089.02,3494.3,568.77,78.81,7.06
uk-2002.egr,100000,38359,4138.39,3489.52,619.01,65.79,7.1
uk-2002.egr,100000,38359,4389.12,3501.91,616.86,70.2,7.11
uk-2002.egr,100000,38359,4394.04,3491.22,669.88,79.06,7.05
