filename,delete_batch_size,depth_of_graph,Adam_BFS,simple BFS,PR-RST module,update datastr,CC
web-BerkStan.egr,100,972,97.97,69.14,11.92,2.97,2.84
web-BerkStan.egr,100,972,97.76,68.68,12.02,5.8,2.36
web-BerkStan.egr,100,972,97.87,68.98,12.15,2.94,3.31
web-BerkStan.egr,100,972,99.48,69.93,13.86,2.93,2.35
web-BerkStan.egr,100,972,98.43,68.74,13.75,2.98,2.39
web-BerkStan.egr,1000,972,98.45,68.99,13.74,2.96,2.54
web-BerkStan.egr,1000,972,97.72,69.23,13.7,3.0,2.81
web-BerkStan.egr,1000,972,98.4,68.38,15.66,2.92,2.38
web-BerkStan.egr,1000,972,98.32,68.37,13.8,2.97,2.38
web-BerkStan.egr,1000,972,97.64,69.26,12.24,2.94,2.85
web-BerkStan.egr,10000,972,97.89,68.48,12.05,2.99,2.36
web-BerkStan.egr,10000,972,98.7,69.08,11.94,2.94,2.85
web-BerkStan.egr,10000,972,98.69,68.65,11.95,2.95,2.87
web-BerkStan.egr,10000,972,98.45,69.89,11.96,2.99,2.38
web-BerkStan.egr,10000,972,97.9,67.95,11.97,2.93,2.99
web-BerkStan.egr,100000,972,99.58,1065.67,12.11,3.35,3.61
web-BerkStan.egr,100000,972,100.99,138.25,11.88,3.34,2.65
web-BerkStan.egr,100000,972,98.41,68.84,10.21,3.02,2.22
web-BerkStan.egr,100000,972,98.23,65.77,15.4,3.01,2.3
web-BerkStan.egr,100000,972,98.48,68.25,12.01,2.98,2.73
