filename,delete_batch_size,depth_of_graph,simple BFS,PR-RST module,Adam_BFS,CC,update datastr
wiki-topcats.egr,100,10,87.19,42.87,8.2,6.2,4.58
wiki-topcats.egr,100,10,88.14,34.96,8.29,5.71,4.58
wiki-topcats.egr,100,10,88.39,43.05,8.27,6.39,4.58
wiki-topcats.egr,100,10,88.06,30.52,8.23,7.02,4.58
wiki-topcats.egr,100,10,89.05,39.07,8.32,4.43,4.97
wiki-topcats.egr,1000,10,86.55,47.16,8.19,4.81,4.58
wiki-topcats.egr,1000,10,86.55,42.94,8.29,3.98,4.57
wiki-topcats.egr,1000,10,85.41,38.87,8.28,3.88,4.98
wiki-topcats.egr,1000,10,85.43,47.08,8.33,6.05,4.57
wiki-topcats.egr,1000,10,85.52,38.97,8.3,4.41,4.58
wiki-topcats.egr,10000,10,88.87,34.69,8.22,9.01,4.58
wiki-topcats.egr,10000,10,86.53,47.3,8.22,5.66,4.59
wiki-topcats.egr,10000,10,88.36,47.33,8.23,4.07,4.58
wiki-topcats.egr,10000,10,87.69,26.35,8.23,6.04,4.58
wiki-topcats.egr,10000,10,87.18,26.25,8.22,4.54,4.62
wiki-topcats.egr,100000,10,87.64,30.48,8.28,5.52,4.58
wiki-topcats.egr,100000,10,84.36,42.87,8.22,4.06,4.58
wiki-topcats.egr,100000,10,85.51,38.79,8.23,4.01,4.58
wiki-topcats.egr,100000,10,87.71,34.76,8.34,5.52,4.59
wiki-topcats.egr,100000,10,86.38,30.49,8.31,4.68,4.66
