filename,depth_of_graph,delete_batch_size,simple_BFS,adam_BFS,PR_RST,source_file
kron_g500-logn18.egr,51997,100,718.57,5727.09,12.32,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,51997,1000,705.0,5681.8,9.81,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,51997,10000,716.49,5734.98,8.61,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,51997,100000,715.42,5678.66,9.3,kron_g500-logn18_output_data_average.csv
germany_osm.egr,4620,100,568.62,618.68,197.25,germany_osm_output_data_average.csv
germany_osm.egr,4620,1000,569.96,617.5,196.56,germany_osm_output_data_average.csv
germany_osm.egr,4620,10000,582.41,621.97,202.99,germany_osm_output_data_average.csv
germany_osm.egr,4620,100000,568.78,623.95,200.34,germany_osm_output_data_average.csv
as-Skitter.egr,757,100,51.04,85.71,9.33,as-Skitter_output_data_average.csv
as-Skitter.egr,757,1000,51.58,85.74,12.35,as-Skitter_output_data_average.csv
as-Skitter.egr,757,10000,50.98,85.5,13.21,as-Skitter_output_data_average.csv
as-Skitter.egr,757,100000,49.83,84.78,13.3,as-Skitter_output_data_average.csv
hollywood-2009.egr,44508,100,729.62,4889.6,29.96,hollywood-2009_output_data_average.csv
hollywood-2009.egr,44508,1000,727.74,4855.21,30.27,hollywood-2009_output_data_average.csv
hollywood-2009.egr,44508,10000,726.85,4893.0,29.49,hollywood-2009_output_data_average.csv
hollywood-2009.egr,44508,100000,726.64,4824.77,30.37,hollywood-2009_output_data_average.csv
hugebubbles-00020.egr,4500,100,1203.91,654.46,467.33,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,4500,1000,1163.3,649.19,468.05,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,4500,10000,1132.29,649.8,468.49,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,4503,100000,1111.01,652.5,467.18,hugebubbles-00020_output_data_average.csv
sx-stackoverflow.egr,23580,100,482.87,2409.56,42.5,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,23580,1000,483.48,2383.41,41.33,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,23580,10000,485.56,2365.26,39.52,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,23580,100000,492.77,2458.65,40.8,sx-stackoverflow_output_data_average.csv
in-2004.egr,136,100,51.94,25.56,37.45,in-2004_output_data_average.csv
in-2004.egr,136,1000,51.19,25.56,33.79,in-2004_output_data_average.csv
in-2004.egr,136,10000,51.98,26.11,37.38,in-2004_output_data_average.csv
in-2004.egr,136,100000,53.21,27.52,36.99,in-2004_output_data_average.csv
europe_osm.egr,17346,100,4303.61,2303.13,1134.35,europe_osm_output_data_average.csv
europe_osm.egr,17346,1000,4310.74,2305.55,1130.05,europe_osm_output_data_average.csv
europe_osm.egr,17346,10000,4348.97,2306.15,1131.79,europe_osm_output_data_average.csv
europe_osm.egr,17346,100000,4308.26,2318.93,1162.25,europe_osm_output_data_average.csv
rgg_n_2_23_s0.egr,1872,100,633.64,274.8,129.96,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,1872,1000,615.85,273.93,125.89,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,1872,10000,612.3,274.54,133.18,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,1873,100000,594.82,275.7,137.17,rgg_n_2_23_s0_output_data_average.csv
soc-LiveJournal1.egr,1877,100,104.43,220.83,53.32,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,1877,1000,108.61,226.01,53.17,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,1877,10000,113.73,222.0,53.06,soc-LiveJournal1_output_data_average.csv
