filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
GAP-road.egr,29105,23947347,57708624,100000,137.25
GAP-road.egr,32564,23947347,57708624,100000,127.062
GAP-road.egr,18320,23947347,57708624,100000,149.972
GAP-road.egr,40531,23947347,57708624,100000,131.586
GAP-road.egr,13893,23947347,57708624,100000,110.712
GAP-road.egr,3505,23947347,57708624,10000,78.9893
GAP-road.egr,2930,23947347,57708624,10000,80.1807
GAP-road.egr,2692,23947347,57708624,10000,106.53
GAP-road.egr,1968,23947347,57708624,10000,87.0248
GAP-road.egr,1011,23947347,57708624,10000,73.7239
GAP-road.egr,37,23947347,57708624,100,87.9748
GAP-road.egr,19,23947347,57708624,100,76.1292
GAP-road.egr,41,23947347,57708624,100,74.7812
GAP-road.egr,28,23947347,57708624,100,72.8121
GAP-road.egr,40,23947347,57708624,100,71.3146
GAP-road.egr,265,23947347,57708624,1000,56.6699
GAP-road.egr,319,23947347,57708624,1000,62.453
GAP-road.egr,76,23947347,57708624,1000,83.2995
GAP-road.egr,369,23947347,57708624,1000,47.4313
GAP-road.egr,208,23947347,57708624,1000,97.3826
