filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
coPapersDBLP.egr,2279,540486,30491458,100000,11.255
coPapersDBLP.egr,2157,540486,30491458,100000,11.0066
coPapersDBLP.egr,2134,540486,30491458,100000,14.3394
coPapersDBLP.egr,2337,540486,30491458,100000,11.294
coPapersDBLP.egr,2191,540486,30491458,100000,9.04646
coPapersDBLP.egr,218,540486,30491458,10000,6.07722
coPapersDBLP.egr,206,540486,30491458,10000,6.91418
coPapersDBLP.egr,237,540486,30491458,10000,6.95508
coPapersDBLP.egr,228,540486,30491458,10000,6.46701
coPapersDBLP.egr,223,540486,30491458,10000,7.46366
coPapersDBLP.egr,2,540486,30491458,100,5.36347
coPapersDBLP.egr,2,540486,30491458,100,5.23257
coPapersDBLP.egr,0,540486,30491458,100,1.3311
coPapersDBLP.egr,3,540486,30491458,100,5.30894
coPapersDBLP.egr,1,540486,30491458,100,5.33843
coPapersDBLP.egr,23,540486,30491458,1000,5.52607
coPapersDBLP.egr,24,540486,30491458,1000,5.90842
coPapersDBLP.egr,22,540486,30491458,1000,5.3032
coPapersDBLP.egr,20,540486,30491458,1000,6.05366
coPapersDBLP.egr,18,540486,30491458,1000,5.36262
