filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
eu-2005.egr,1965,862664,32276936,100000,9.52715
eu-2005.egr,2232,862664,32276936,100000,11.4214
eu-2005.egr,2702,862664,32276936,100000,15.3941
eu-2005.egr,2125,862664,32276936,100000,11.7664
eu-2005.egr,2559,862664,32276936,100000,12.9774
eu-2005.egr,177,862664,32276936,10000,7.34933
eu-2005.egr,205,862664,32276936,10000,7.04016
eu-2005.egr,246,862664,32276936,10000,7.46417
eu-2005.egr,138,862664,32276936,10000,7.79501
eu-2005.egr,261,862664,32276936,10000,7.34702
eu-2005.egr,2,862664,32276936,100,6.77914
eu-2005.egr,4,862664,32276936,100,6.89638
eu-2005.egr,1,862664,32276936,100,6.44913
eu-2005.egr,0,862664,32276936,100,1.38119
eu-2005.egr,1,862664,32276936,100,6.15617
eu-2005.egr,22,862664,32276936,1000,6.81494
eu-2005.egr,24,862664,32276936,1000,7.01578
eu-2005.egr,16,862664,32276936,1000,6.25004
eu-2005.egr,25,862664,32276936,1000,7.0904
eu-2005.egr,11,862664,32276936,1000,7.13547
