filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
in-2004.egr,986,1382908,27183212,100000,10.4483
in-2004.egr,810,1382908,27183212,100000,8.73901
in-2004.egr,705,1382908,27183212,100000,8.95406
in-2004.egr,794,1382908,27183212,100000,10.6033
in-2004.egr,951,1382908,27183212,100000,10.164
in-2004.egr,86,1382908,27183212,10000,8.93683
in-2004.egr,93,1382908,27183212,10000,8.71847
in-2004.egr,76,1382908,27183212,10000,8.60483
in-2004.egr,89,1382908,27183212,10000,7.78304
in-2004.egr,74,1382908,27183212,10000,8.43613
in-2004.egr,1,1382908,27183212,100,7.19205
in-2004.egr,0,1382908,27183212,100,1.23877
in-2004.egr,1,1382908,27183212,100,7.54706
in-2004.egr,2,1382908,27183212,100,7.27834
in-2004.egr,2,1382908,27183212,100,8.02875
in-2004.egr,3,1382908,27183212,1000,7.46813
in-2004.egr,6,1382908,27183212,1000,8.10692
in-2004.egr,14,1382908,27183212,1000,8.58368
in-2004.egr,5,1382908,27183212,1000,8.26338
in-2004.egr,3,1382908,27183212,1000,7.84179
