filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
kmer_U1a.egr,61,67716231,138866824,100,221.616
kmer_U1a.egr,60,67716231,138866824,100,247.466
kmer_U1a.egr,65,67716231,138866824,100,260.166
kmer_U1a.egr,66,67716231,138866824,100,248.329
kmer_U1a.egr,54,67716231,138866824,100,238.579
kmer_U1a.egr,647,67716231,138866824,1000,295.659
kmer_U1a.egr,615,67716231,138866824,1000,241.845
kmer_U1a.egr,622,67716231,138866824,1000,251.934
kmer_U1a.egr,627,67716231,138866824,1000,295.659
kmer_U1a.egr,622,67716231,138866824,1000,294.294
kmer_U1a.egr,6394,67716231,138866824,10000,380.517
kmer_U1a.egr,6376,67716231,138866824,10000,309.027
kmer_U1a.egr,6302,67716231,138866824,10000,382.211
kmer_U1a.egr,6144,67716231,138866824,10000,333.058
kmer_U1a.egr,6383,67716231,138866824,10000,333.058
kmer_U1a.egr,64581,67716231,138866824,100000,420.342
kmer_U1a.egr,64128,67716231,138866824,100000,420.342
kmer_U1a.egr,65997,67716231,138866824,100000,381.147
kmer_U1a.egr,64044,67716231,138866824,100000,421.098
kmer_U1a.egr,64007,67716231,138866824,100000,347.19
