filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
sx-stackoverflow.egr,3932,2601977,56414194,100000,29.8691
sx-stackoverflow.egr,4046,2601977,56414194,100000,32.6069
sx-stackoverflow.egr,4169,2601977,56414194,100000,35.03
sx-stackoverflow.egr,4098,2601977,56414194,100000,32.1675
sx-stackoverflow.egr,4113,2601977,56414194,100000,31.9629
sx-stackoverflow.egr,400,2601977,56414194,10000,19.3523
sx-stackoverflow.egr,404,2601977,56414194,10000,17.5704
sx-stackoverflow.egr,381,2601977,56414194,10000,15.9767
sx-stackoverflow.egr,394,2601977,56414194,10000,20.7326
sx-stackoverflow.egr,464,2601977,56414194,10000,15.5496
sx-stackoverflow.egr,3,2601977,56414194,100,12.841
sx-stackoverflow.egr,5,2601977,56414194,100,14.606
sx-stackoverflow.egr,4,2601977,56414194,100,14.8149
sx-stackoverflow.egr,4,2601977,56414194,100,14.2326
sx-stackoverflow.egr,2,2601977,56414194,100,13.2183
sx-stackoverflow.egr,34,2601977,56414194,1000,15.1369
sx-stackoverflow.egr,43,2601977,56414194,1000,15.0541
sx-stackoverflow.egr,42,2601977,56414194,1000,14.1296
sx-stackoverflow.egr,45,2601977,56414194,1000,17.6107
sx-stackoverflow.egr,43,2601977,56414194,1000,15.8053
