filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
uk-2005.egr,1148,39459925,1566080060,100000,136.813
uk-2005.egr,1163,39459925,1566080060,100000,147.328
uk-2005.egr,1274,39459925,1566080060,100000,149.804
uk-2005.egr,1118,39459925,1566080060,100000,175.633
uk-2005.egr,1147,39459925,1566080060,100000,196.156
uk-2005.egr,115,39459925,1566080060,10000,137.2
uk-2005.egr,125,39459925,1566080060,10000,146.529
uk-2005.egr,124,39459925,1566080060,10000,147.137
uk-2005.egr,87,39459925,1566080060,10000,137.503
uk-2005.egr,130,39459925,1566080060,10000,137.172
uk-2005.egr,1,39459925,1566080060,100,98.6518
uk-2005.egr,1,39459925,1566080060,100,97.8294
uk-2005.egr,3,39459925,1566080060,100,144.013
uk-2005.egr,1,39459925,1566080060,100,96.7242
uk-2005.egr,1,39459925,1566080060,100,109.905
uk-2005.egr,6,39459925,1566080060,1000,140.66
uk-2005.egr,12,39459925,1566080060,1000,145.827
uk-2005.egr,10,39459925,1566080060,1000,136.877
uk-2005.egr,21,39459925,1566080060,1000,135.812
uk-2005.egr,13,39459925,1566080060,1000,135.067
