filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
wiki-topcats.egr,4035,1791489,50888414,100000,24.1985
wiki-topcats.egr,3886,1791489,50888414,100000,19.4824
wiki-topcats.egr,3881,1791489,50888414,100000,42.7859
wiki-topcats.egr,4035,1791489,50888414,100000,19.5806
wiki-topcats.egr,3958,1791489,50888414,100000,20.867
wiki-topcats.egr,400,1791489,50888414,10000,14.6949
wiki-topcats.egr,342,1791489,50888414,10000,11.3243
wiki-topcats.egr,403,1791489,50888414,10000,15.6788
wiki-topcats.egr,429,1791489,50888414,10000,12.62
wiki-topcats.egr,355,1791489,50888414,10000,13.8333
wiki-topcats.egr,1,1791489,50888414,100,12.9658
wiki-topcats.egr,2,1791489,50888414,100,9.94088
wiki-topcats.egr,1,1791489,50888414,100,10.0138
wiki-topcats.egr,3,1791489,50888414,100,9.62443
wiki-topcats.egr,5,1791489,50888414,100,11.3237
wiki-topcats.egr,59,1791489,50888414,1000,11.5197
wiki-topcats.egr,39,1791489,50888414,1000,14.6482
wiki-topcats.egr,31,1791489,50888414,1000,10.4106
wiki-topcats.egr,41,1791489,50888414,1000,11.4627
wiki-topcats.egr,43,1791489,50888414,1000,12.6357
