filename,numVertices,numEdges,batch_size,tree_edges_count,total_time,source_file
kron_g500-logn18.egr,262144,21269364,100,1.0,3.56,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,1000,13.6,4.63,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,10000,112.2,5.63,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,100000,1152.4,12.09,kron_g500-logn18_output_data_average.csv
kmer_A2a.egr,170728175,360595876,100,63.2,535.06,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,1000,655.4,615.69,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,10000,6399.8,907.79,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,100000,61100.4,1094.19,kmer_A2a_output_data_average.csv
germany_osm.egr,11548845,24738362,100,29.6,32.15,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,1000,215.6,34.93,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,10000,2863.4,48.5,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,100000,29582.2,88.04,germany_osm_output_data_average.csv
as-Skitter.egr,1696415,22192106,100,5.6,8.88,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,1000,60.8,10.49,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,10000,621.0,10.89,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,100000,6064.2,16.86,as-Skitter_output_data_average.csv
hollywood-2009.egr,1139905,112840436,100,1.4,8.64,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,1000,15.2,11.72,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,10000,150.2,11.97,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,100000,1469.4,29.8,hollywood-2009_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,100,49.6,96.15,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,1000,404.6,105.26,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,10000,4666.4,143.84,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,100000,39973.6,225.66,hugebubbles-00020_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,100,3.6,13.94,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,1000,41.4,15.55,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,10000,408.6,17.84,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,100000,4071.6,32.33,sx-stackoverflow_output_data_average.csv
in-2004.egr,1382908,27183212,100,1.2,6.26,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,1000,6.2,8.05,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,10000,83.6,8.5,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,100000,849.2,9.78,in-2004_output_data_average.csv
europe_osm.egr,50912018,108109320,100,16.0,119.89,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,1000,205.6,141.48,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,10000,833.6,153.51,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,100000,18039.4,219.5,europe_osm_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,100,8.6,47.89,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,1000,99.0,49.99,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,10000,1118.0,65.04,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,100000,7876.4,104.89,rgg_n_2_23_s0_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,100,6.8,20.68,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,1000,52.8,24.29,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,10000,557.6,26.47,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,100000,5419.2,38.92,soc-LiveJournal1_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,100,1.4,14.2,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,1000,10.4,19.85,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,10000,101.0,23.4,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,100000,983.4,33.19,kron_g500-logn21_output_data_average.csv
ljournal-2008.egr,5363260,99028690,100,6.4,24.12,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,1000,57.0,24.45,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,10000,505.6,25.47,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,100000,5166.8,45.81,ljournal-2008_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,100,1.0,4.18,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,1000,12.0,5.54,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,10000,146.0,6.29,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,100000,1451.0,10.18,coPapersCiteseer_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,100,10.6,81.7,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,1000,89.4,81.23,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,10000,829.6,100.31,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,100000,10624.4,204.49,rgg_n_2_24_s0_output_data_average.csv
com-Orkut.egr,3072441,234370166,100,3.0,30.63,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,1000,22.0,39.38,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,10000,217.2,41.56,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,100000,2120.2,57.59,com-Orkut_output_data_average.csv
arabic-2005.egr,22744080,1107807202,100,0.8,62.04,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,1000,7.0,103.65,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,10000,90.0,111.15,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,100000,725.4,114.45,arabic-2005_output_data_average.csv
kmer_U1a.egr,67716231,138866824,100,61.2,243.23,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,1000,626.6,275.88,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,10000,6319.8,347.57,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,100000,64551.4,398.02,kmer_U1a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100,24.6,193.17,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,1000,322.0,219.2,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,10000,3015.8,243.29,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100000,36586.6,282.39,kmer_V2a_output_data_average.csv
GAP-road.egr,23947347,57708624,100,33.0,76.6,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,1000,247.4,69.45,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,10000,2421.2,85.29,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,100000,26882.6,131.32,GAP-road_output_data_average.csv
