filename,Batch Size,total_time
coPapersDBLP.txt,100,10.643
coPapersDBLP.txt,100,8.803
coPapersDBLP.txt,100,11.529
coPapersDBLP.txt,100,8.969
coPapersDBLP.txt,100,11.815
coPapersDBLP.txt,1000,12.613
coPapersDBLP.txt,1000,11.989
coPapersDBLP.txt,1000,11.485
coPapersDBLP.txt,1000,12.698
coPapersDBLP.txt,1000,11.963
coPapersDBLP.txt,10000,13.591
coPapersDBLP.txt,10000,13.303
coPapersDBLP.txt,10000,13.359
coPapersDBLP.txt,10000,13.291
coPapersDBLP.txt,10000,12.337
coPapersDBLP.txt,100000,16.047
coPapersDBLP.txt,100000,15.645
coPapersDBLP.txt,100000,15.349
coPapersDBLP.txt,100000,17.136
coPapersDBLP.txt,100000,19.241
