filename,Batch Size,total_time
eu-2005.txt,100,12.902
eu-2005.txt,100,13.285
eu-2005.txt,100,10.442
eu-2005.txt,100,12.415
eu-2005.txt,100,12.165
eu-2005.txt,1000,13.806
eu-2005.txt,1000,13.627
eu-2005.txt,1000,13.684
eu-2005.txt,1000,13.851
eu-2005.txt,1000,13.729
eu-2005.txt,10000,14.048
eu-2005.txt,10000,13.921
eu-2005.txt,10000,14.631
eu-2005.txt,10000,13.97
eu-2005.txt,10000,14.584
eu-2005.txt,100000,15.387
eu-2005.txt,100000,15.87
eu-2005.txt,100000,14.841
eu-2005.txt,100000,15.299
eu-2005.txt,100000,15.589
