filename,Batch Size,total_time
in-2004.txt,100,13.76
in-2004.txt,100,11.303
in-2004.txt,100,14.014
in-2004.txt,100,14.799
in-2004.txt,100,13.549
in-2004.txt,1000,14.718
in-2004.txt,1000,14.78
in-2004.txt,1000,14.812
in-2004.txt,1000,14.448
in-2004.txt,1000,14.753
in-2004.txt,10000,15.18
in-2004.txt,10000,14.332
in-2004.txt,10000,15.226
in-2004.txt,10000,15.012
in-2004.txt,10000,14.51
in-2004.txt,100000,16.698
in-2004.txt,100000,15.66
in-2004.txt,100000,19.316
in-2004.txt,100000,17.342
in-2004.txt,100000,15.875
