filename,Batch Size,total_time
ljournal-2008.txt,100,34.924
ljournal-2008.txt,100,36.049
ljournal-2008.txt,100,36.014
ljournal-2008.txt,100,36.53
ljournal-2008.txt,100,35.594
ljournal-2008.txt,1000,35.459
ljournal-2008.txt,1000,36.637
ljournal-2008.txt,1000,36.979
ljournal-2008.txt,1000,38.25
ljournal-2008.txt,1000,35.94
ljournal-2008.txt,10000,39.502
ljournal-2008.txt,10000,37.004
ljournal-2008.txt,10000,39.956
ljournal-2008.txt,10000,45.045
ljournal-2008.txt,10000,36.056
ljournal-2008.txt,100000,47.512
ljournal-2008.txt,100000,47.369
ljournal-2008.txt,100000,51.083
ljournal-2008.txt,100000,46.617
ljournal-2008.txt,100000,45.267
