filename,Batch Size,total_time
uk-2005.txt,100,185.255
uk-2005.txt,100,192.643
uk-2005.txt,100,240.474
uk-2005.txt,100,191.585
uk-2005.txt,100,188.448
uk-2005.txt,1000,246.947
uk-2005.txt,1000,241.541
uk-2005.txt,1000,239.767
uk-2005.txt,1000,240.43
uk-2005.txt,1000,241.107
uk-2005.txt,10000,242.507
uk-2005.txt,10000,239.423
uk-2005.txt,10000,248.051
uk-2005.txt,10000,238.008
uk-2005.txt,10000,247.062
uk-2005.txt,100000,242.598
uk-2005.txt,100000,268.937
uk-2005.txt,100000,240.287
uk-2005.txt,100000,240.973
uk-2005.txt,100000,241.935
