filename,Batch Size,total_time
eu-2005.txt,100,13.061
eu-2005.txt,100,13.167
eu-2005.txt,100,9.898
eu-2005.txt,100,11.319
eu-2005.txt,100,12.902
eu-2005.txt,1000,13.168
eu-2005.txt,1000,12.678
eu-2005.txt,1000,12.626
eu-2005.txt,1000,12.96
eu-2005.txt,1000,13.03
eu-2005.txt,10000,14.038
eu-2005.txt,10000,14.723
eu-2005.txt,10000,15.82
eu-2005.txt,10000,14.587
eu-2005.txt,10000,13.944
eu-2005.txt,100000,17.422
eu-2005.txt,100000,19.379
eu-2005.txt,100000,18.203
eu-2005.txt,100000,17.626
eu-2005.txt,100000,19.597
