filename,Batch Size,total_time
hugebubbles-00020.txt,100,104.507
hugebubbles-00020.txt,100,102.322
hugebubbles-00020.txt,100,105.216
hugebubbles-00020.txt,100,111.9
hugebubbles-00020.txt,100,100.922
hugebubbles-00020.txt,1000,181.388
hugebubbles-00020.txt,1000,107.434
hugebubbles-00020.txt,1000,108.274
hugebubbles-00020.txt,1000,108.903
hugebubbles-00020.txt,1000,104.486
hugebubbles-00020.txt,10000,120.687
hugebubbles-00020.txt,10000,112.314
hugebubbles-00020.txt,10000,120.088
hugebubbles-00020.txt,10000,123.679
hugebubbles-00020.txt,10000,104.609
hugebubbles-00020.txt,100000,130.974
hugebubbles-00020.txt,100000,119.489
hugebubbles-00020.txt,100000,138.934
hugebubbles-00020.txt,100000,144.539
hugebubbles-00020.txt,100000,123.925
