filename,Batch Size,total_time
in-2004.txt,100,11.808
in-2004.txt,100,10.55
in-2004.txt,100,12.218
in-2004.txt,100,12.683
in-2004.txt,100,11.655
in-2004.txt,1000,12.579
in-2004.txt,1000,12.627
in-2004.txt,1000,12.89
in-2004.txt,1000,12.796
in-2004.txt,1000,12.802
in-2004.txt,10000,13.542
in-2004.txt,10000,12.958
in-2004.txt,10000,13.376
in-2004.txt,10000,12.969
in-2004.txt,10000,13.653
in-2004.txt,100000,17.938
in-2004.txt,100000,16.303
in-2004.txt,100000,14.405
in-2004.txt,100000,14.485
in-2004.txt,100000,15.392
