filename,Batch Size,total_time
ljournal-2008.txt,100,46.494
ljournal-2008.txt,100,35.664
ljournal-2008.txt,100,34.772
ljournal-2008.txt,100,35.6
ljournal-2008.txt,100,34.09
ljournal-2008.txt,1000,35.922
ljournal-2008.txt,1000,35.537
ljournal-2008.txt,1000,35.664
ljournal-2008.txt,1000,36.86
ljournal-2008.txt,1000,35.008
ljournal-2008.txt,10000,49.58
ljournal-2008.txt,10000,35.359
ljournal-2008.txt,10000,39.682
ljournal-2008.txt,10000,41.323
ljournal-2008.txt,10000,37.228
ljournal-2008.txt,100000,41.16
ljournal-2008.txt,100000,49.279
ljournal-2008.txt,100000,50.105
ljournal-2008.txt,100000,42.145
ljournal-2008.txt,100000,56.363
