filename,Batch Size,total_time
rgg_n_2_23_s0.txt,100,50.801
rgg_n_2_23_s0.txt,100,50.418
rgg_n_2_23_s0.txt,100,50.936
rgg_n_2_23_s0.txt,100,49.351
rgg_n_2_23_s0.txt,100,51.17
rgg_n_2_23_s0.txt,1000,50.283
rgg_n_2_23_s0.txt,1000,49.228
rgg_n_2_23_s0.txt,1000,51.329
rgg_n_2_23_s0.txt,1000,48.012
rgg_n_2_23_s0.txt,1000,51.381
rgg_n_2_23_s0.txt,10000,61.533
rgg_n_2_23_s0.txt,10000,62.169
rgg_n_2_23_s0.txt,10000,59.264
rgg_n_2_23_s0.txt,10000,57.525
rgg_n_2_23_s0.txt,10000,58.142
rgg_n_2_23_s0.txt,100000,69.629
rgg_n_2_23_s0.txt,100000,70.611
rgg_n_2_23_s0.txt,100000,67.925
rgg_n_2_23_s0.txt,100000,64.774
rgg_n_2_23_s0.txt,100000,59.289
