filename,Batch Size,total_time
uk-2005.txt,100,195.897
uk-2005.txt,100,191.889
uk-2005.txt,100,244.277
uk-2005.txt,100,190.549
uk-2005.txt,100,192.087
uk-2005.txt,1000,254.25
uk-2005.txt,1000,243.845
uk-2005.txt,1000,241.643
uk-2005.txt,1000,246.897
uk-2005.txt,1000,242.148
uk-2005.txt,10000,255.047
uk-2005.txt,10000,249.227
uk-2005.txt,10000,269.877
uk-2005.txt,10000,251.714
uk-2005.txt,10000,244.358
uk-2005.txt,100000,246.18
uk-2005.txt,100000,277.788
uk-2005.txt,100000,261.258
uk-2005.txt,100000,253.688
uk-2005.txt,100000,247.34
