filename,Batch Size,total_time,source_file
kron_g500-logn18.txt,100,8.98,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.txt,1000,9.74,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.txt,10000,11.76,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.txt,100000,17.35,kron_g500-logn18_output_data_average.csv
kmer_A2a.txt,100,731.15,kmer_A2a_output_data_average.csv
kmer_A2a.txt,1000,747.09,kmer_A2a_output_data_average.csv
kmer_A2a.txt,10000,796.41,kmer_A2a_output_data_average.csv
kmer_A2a.txt,100000,822.79,kmer_A2a_output_data_average.csv
germany_osm.txt,100,43.03,germany_osm_output_data_average.csv
germany_osm.txt,1000,44.65,germany_osm_output_data_average.csv
germany_osm.txt,10000,49.1,germany_osm_output_data_average.csv
germany_osm.txt,100000,61.29,germany_osm_output_data_average.csv
as-Skitter.txt,100,13.52,as-Skitter_output_data_average.csv
as-Skitter.txt,1000,14.06,as-Skitter_output_data_average.csv
as-Skitter.txt,10000,16.15,as-Skitter_output_data_average.csv
as-Skitter.txt,100000,21.44,as-Skitter_output_data_average.csv
hollywood-2009.txt,100,24.15,hollywood-2009_output_data_average.csv
hollywood-2009.txt,1000,28.21,hollywood-2009_output_data_average.csv
hollywood-2009.txt,10000,28.92,hollywood-2009_output_data_average.csv
hollywood-2009.txt,100000,36.72,hollywood-2009_output_data_average.csv
hugebubbles-00020.txt,100,104.97,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.txt,1000,122.1,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.txt,10000,116.28,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.txt,100000,131.57,hugebubbles-00020_output_data_average.csv
sx-stackoverflow.txt,100,23.13,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.txt,1000,26.44,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.txt,10000,29.24,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.txt,100000,41.73,sx-stackoverflow_output_data_average.csv
in-2004.txt,100,11.78,in-2004_output_data_average.csv
in-2004.txt,1000,12.74,in-2004_output_data_average.csv
in-2004.txt,10000,13.3,in-2004_output_data_average.csv
in-2004.txt,100000,15.7,in-2004_output_data_average.csv
europe_osm.txt,100,151.96,europe_osm_output_data_average.csv
europe_osm.txt,1000,179.03,europe_osm_output_data_average.csv
europe_osm.txt,10000,166.47,europe_osm_output_data_average.csv
europe_osm.txt,100000,175.33,europe_osm_output_data_average.csv
rgg_n_2_23_s0.txt,100,50.54,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.txt,1000,50.05,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.txt,10000,59.73,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.txt,100000,66.45,rgg_n_2_23_s0_output_data_average.csv
soc-LiveJournal1.txt,100,32.71,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.txt,1000,37.61,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.txt,10000,39.2,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.txt,100000,52.44,soc-LiveJournal1_output_data_average.csv
kron_g500-logn21.txt,100,33.97,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.txt,1000,45.33,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.txt,10000,49.78,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.txt,100000,54.8,kron_g500-logn21_output_data_average.csv
ljournal-2008.txt,100,37.32,ljournal-2008_output_data_average.csv
ljournal-2008.txt,1000,35.8,ljournal-2008_output_data_average.csv
ljournal-2008.txt,10000,40.63,ljournal-2008_output_data_average.csv
ljournal-2008.txt,100000,47.81,ljournal-2008_output_data_average.csv
coPapersCiteseer.txt,100,9.18,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.txt,1000,10.21,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.txt,10000,11.8,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.txt,100000,16.99,coPapersCiteseer_output_data_average.csv
rgg_n_2_24_s0.txt,100,92.95,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.txt,1000,92.09,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.txt,10000,100.55,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.txt,100000,114.35,rgg_n_2_24_s0_output_data_average.csv
com-Orkut.txt,100,45.59,com-Orkut_output_data_average.csv
com-Orkut.txt,1000,52.7,com-Orkut_output_data_average.csv
com-Orkut.txt,10000,61.4,com-Orkut_output_data_average.csv
com-Orkut.txt,100000,72.16,com-Orkut_output_data_average.csv
arabic-2005.txt,100,150.66,arabic-2005_output_data_average.csv
arabic-2005.txt,1000,167.08,arabic-2005_output_data_average.csv
arabic-2005.txt,10000,171.67,arabic-2005_output_data_average.csv
arabic-2005.txt,100000,174.11,arabic-2005_output_data_average.csv
kmer_U1a.txt,100,338.82,kmer_U1a_output_data_average.csv
kmer_U1a.txt,1000,341.8,kmer_U1a_output_data_average.csv
kmer_U1a.txt,10000,347.15,kmer_U1a_output_data_average.csv
kmer_U1a.txt,100000,385.02,kmer_U1a_output_data_average.csv
kmer_V2a.txt,100,249.09,kmer_V2a_output_data_average.csv
kmer_V2a.txt,1000,266.02,kmer_V2a_output_data_average.csv
kmer_V2a.txt,10000,279.52,kmer_V2a_output_data_average.csv
kmer_V2a.txt,100000,291.07,kmer_V2a_output_data_average.csv
GAP-road.txt,100,82.09,GAP-road_output_data_average.csv
GAP-road.txt,1000,83.54,GAP-road_output_data_average.csv
GAP-road.txt,10000,90.3,GAP-road_output_data_average.csv
GAP-road.txt,100000,94.48,GAP-road_output_data_average.csv
uk-2002.txt,100,102.66,uk-2002_output_data_average.csv
uk-2002.txt,1000,109.88,uk-2002_output_data_average.csv
uk-2002.txt,10000,108.45,uk-2002_output_data_average.csv
uk-2002.txt,100000,106.7,uk-2002_output_data_average.csv
indochina-2004.txt,100,53.92,indochina-2004_output_data_average.csv
indochina-2004.txt,1000,63.5,indochina-2004_output_data_average.csv
indochina-2004.txt,10000,63.82,indochina-2004_output_data_average.csv
indochina-2004.txt,100000,63.48,indochina-2004_output_data_average.csv
web-BerkStan.txt,100,8.62,web-BerkStan_output_data_average.csv
web-BerkStan.txt,1000,9.77,web-BerkStan_output_data_average.csv
web-BerkStan.txt,10000,10.47,web-BerkStan_output_data_average.csv
