filename,Batch Size,total_time
eu-2005.txt,100,12.451
eu-2005.txt,100,12.867
eu-2005.txt,100,10.247
eu-2005.txt,100,11.863
eu-2005.txt,100,11.866
eu-2005.txt,1000,13.322
eu-2005.txt,1000,17.675
eu-2005.txt,1000,12.993
eu-2005.txt,1000,12.945
eu-2005.txt,1000,13.109
eu-2005.txt,10000,14.257
eu-2005.txt,10000,13.949
eu-2005.txt,10000,14.098
eu-2005.txt,10000,13.778
eu-2005.txt,10000,14.267
eu-2005.txt,100000,16.736
eu-2005.txt,100000,18.713
eu-2005.txt,100000,18.305
eu-2005.txt,100000,17.286
eu-2005.txt,100000,17.824
