filename,Batch Size,total_time
higgs-twitter.txt,100,8.221
higgs-twitter.txt,100,10.437
higgs-twitter.txt,100,10.732
higgs-twitter.txt,100,10.326
higgs-twitter.txt,100,10.666
higgs-twitter.txt,1000,10.949
higgs-twitter.txt,1000,11.916
higgs-twitter.txt,1000,10.963
higgs-twitter.txt,1000,11.512
higgs-twitter.txt,1000,11.009
higgs-twitter.txt,10000,13.312
higgs-twitter.txt,10000,13.68
higgs-twitter.txt,10000,14.998
higgs-twitter.txt,10000,14.444
higgs-twitter.txt,10000,13.586
higgs-twitter.txt,100000,20.662
higgs-twitter.txt,100000,19.36
higgs-twitter.txt,100000,18.095
higgs-twitter.txt,100000,18.795
higgs-twitter.txt,100000,18.308
