filename,Batch Size,total_time
in-2004.txt,100,12.981
in-2004.txt,100,11.41
in-2004.txt,100,13.45
in-2004.txt,100,13.898
in-2004.txt,100,12.991
in-2004.txt,1000,14.132
in-2004.txt,1000,13.842
in-2004.txt,1000,14.123
in-2004.txt,1000,13.958
in-2004.txt,1000,13.992
in-2004.txt,10000,14.704
in-2004.txt,10000,14.157
in-2004.txt,10000,14.647
in-2004.txt,10000,14.486
in-2004.txt,10000,14.821
in-2004.txt,100000,16.381
in-2004.txt,100000,16.126
in-2004.txt,100000,17.379
in-2004.txt,100000,15.541
in-2004.txt,100000,15.574
