filename,Batch Size,total_time
kmer_V2a.txt,100,216.63
kmer_V2a.txt,100,222.966
kmer_V2a.txt,100,205.304
kmer_V2a.txt,100,207.856
kmer_V2a.txt,100,210.92
kmer_V2a.txt,100,208.961
kmer_V2a.txt,100,223.066
kmer_V2a.txt,100,211.279
kmer_V2a.txt,100,204.875
kmer_V2a.txt,100,210.308
kmer_V2a.txt,1000,205.332
kmer_V2a.txt,1000,215.541
kmer_V2a.txt,1000,214.238
kmer_V2a.txt,1000,214.849
kmer_V2a.txt,1000,218.866
kmer_V2a.txt,1000,216.495
kmer_V2a.txt,1000,221.57
kmer_V2a.txt,1000,213.662
kmer_V2a.txt,1000,216.005
kmer_V2a.txt,1000,209.975
kmer_V2a.txt,10000,243.745
kmer_V2a.txt,10000,232.691
kmer_V2a.txt,10000,209.746
kmer_V2a.txt,10000,233.887
kmer_V2a.txt,10000,216.102
kmer_V2a.txt,10000,232.319
kmer_V2a.txt,10000,234.891
kmer_V2a.txt,10000,216.321
kmer_V2a.txt,10000,225.608
kmer_V2a.txt,10000,221.139
kmer_V2a.txt,100000,230.293
kmer_V2a.txt,100000,244.58
kmer_V2a.txt,100000,242.407
kmer_V2a.txt,100000,236.132
kmer_V2a.txt,100000,245.148
kmer_V2a.txt,100000,263.414
kmer_V2a.txt,100000,238.203
kmer_V2a.txt,100000,236.327
kmer_V2a.txt,100000,242.451
kmer_V2a.txt,100000,255.591
