filename,Batch Size,total_time
rgg_n_2_24_s0.txt,100,94.329
rgg_n_2_24_s0.txt,100,98.381
rgg_n_2_24_s0.txt,100,91.336
rgg_n_2_24_s0.txt,100,84.975
rgg_n_2_24_s0.txt,100,93.993
rgg_n_2_24_s0.txt,100,95.425
rgg_n_2_24_s0.txt,100,93.179
rgg_n_2_24_s0.txt,100,94.663
rgg_n_2_24_s0.txt,100,94.671
rgg_n_2_24_s0.txt,100,87.254
rgg_n_2_24_s0.txt,1000,88.299
rgg_n_2_24_s0.txt,1000,95.533
rgg_n_2_24_s0.txt,1000,96.119
rgg_n_2_24_s0.txt,1000,96.142
rgg_n_2_24_s0.txt,1000,91.46
rgg_n_2_24_s0.txt,1000,94.566
rgg_n_2_24_s0.txt,1000,94.526
rgg_n_2_24_s0.txt,1000,94.664
rgg_n_2_24_s0.txt,1000,95.067
rgg_n_2_24_s0.txt,1000,95.653
rgg_n_2_24_s0.txt,10000,108.754
rgg_n_2_24_s0.txt,10000,94.985
rgg_n_2_24_s0.txt,10000,98.103
rgg_n_2_24_s0.txt,10000,106.069
rgg_n_2_24_s0.txt,10000,87.756
rgg_n_2_24_s0.txt,10000,107.938
rgg_n_2_24_s0.txt,10000,99.618
rgg_n_2_24_s0.txt,10000,96.685
rgg_n_2_24_s0.txt,10000,108.604
rgg_n_2_24_s0.txt,10000,96.736
rgg_n_2_24_s0.txt,100000,130.74
rgg_n_2_24_s0.txt,100000,139.167
rgg_n_2_24_s0.txt,100000,119.129
rgg_n_2_24_s0.txt,100000,111.618
rgg_n_2_24_s0.txt,100000,139.411
rgg_n_2_24_s0.txt,100000,119.904
rgg_n_2_24_s0.txt,100000,111.516
rgg_n_2_24_s0.txt,100000,129.553
rgg_n_2_24_s0.txt,100000,126.19
rgg_n_2_24_s0.txt,100000,110.085
