filename,Batch Size,total_time
uk-2005.txt,100,230.087
uk-2005.txt,100,224.372
uk-2005.txt,100,278.78
uk-2005.txt,100,226.551
uk-2005.txt,100,224.082
uk-2005.txt,1000,279.376
uk-2005.txt,1000,276.662
uk-2005.txt,1000,278.851
uk-2005.txt,1000,276.874
uk-2005.txt,1000,276.586
uk-2005.txt,10000,277.578
uk-2005.txt,10000,280.54
uk-2005.txt,10000,280.29
uk-2005.txt,10000,276.695
uk-2005.txt,10000,277.299
uk-2005.txt,100000,281.66
uk-2005.txt,100000,312.684
uk-2005.txt,100000,279.993
uk-2005.txt,100000,280.49
uk-2005.txt,100000,280.604
