filename,Batch Size,total_time,source_file
kron_g500-logn18.txt,100,8.5,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.txt,1000,9.71,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.txt,10000,11.41,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.txt,100000,16.31,kron_g500-logn18_output_data_average.csv
kmer_A2a.txt,100,,kmer_A2a_output_data_average.csv
kmer_A2a.txt,1000,,kmer_A2a_output_data_average.csv
kmer_A2a.txt,10000,,kmer_A2a_output_data_average.csv
kmer_A2a.txt,100000,,kmer_A2a_output_data_average.csv
germany_osm.txt,100,49.68,germany_osm_output_data_average.csv
germany_osm.txt,1000,52.64,germany_osm_output_data_average.csv
germany_osm.txt,10000,56.39,germany_osm_output_data_average.csv
germany_osm.txt,100000,71.17,germany_osm_output_data_average.csv
as-Skitter.txt,100,13.91,as-Skitter_output_data_average.csv
as-Skitter.txt,1000,14.61,as-Skitter_output_data_average.csv
as-Skitter.txt,10000,16.75,as-Skitter_output_data_average.csv
as-Skitter.txt,100000,23.26,as-Skitter_output_data_average.csv
hollywood-2009.txt,100,23.15,hollywood-2009_output_data_average.csv
hollywood-2009.txt,1000,26.79,hollywood-2009_output_data_average.csv
hollywood-2009.txt,10000,29.04,hollywood-2009_output_data_average.csv
hollywood-2009.txt,100000,34.41,hollywood-2009_output_data_average.csv
hugebubbles-00020.txt,100,91.64,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.txt,1000,94.68,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.txt,10000,103.96,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.txt,100000,121.61,hugebubbles-00020_output_data_average.csv
sx-stackoverflow.txt,100,22.59,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.txt,1000,24.66,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.txt,10000,29.65,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.txt,100000,39.11,sx-stackoverflow_output_data_average.csv
in-2004.txt,100,12.95,in-2004_output_data_average.csv
in-2004.txt,1000,14.01,in-2004_output_data_average.csv
in-2004.txt,10000,14.56,in-2004_output_data_average.csv
in-2004.txt,100000,16.2,in-2004_output_data_average.csv
europe_osm.txt,100,182.38,europe_osm_output_data_average.csv
europe_osm.txt,1000,198.36,europe_osm_output_data_average.csv
europe_osm.txt,10000,207.61,europe_osm_output_data_average.csv
europe_osm.txt,100000,221.5,europe_osm_output_data_average.csv
rgg_n_2_23_s0.txt,100,50.09,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.txt,1000,50.18,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.txt,10000,57.05,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.txt,100000,71.03,rgg_n_2_23_s0_output_data_average.csv
soc-LiveJournal1.txt,100,33.56,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.txt,1000,37.63,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.txt,10000,39.35,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.txt,100000,52.28,soc-LiveJournal1_output_data_average.csv
kron_g500-logn21.txt,100,33.55,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.txt,1000,43.4,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.txt,10000,45.3,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.txt,100000,55.51,kron_g500-logn21_output_data_average.csv
ljournal-2008.txt,100,36.33,ljournal-2008_output_data_average.csv
ljournal-2008.txt,1000,37.37,ljournal-2008_output_data_average.csv
ljournal-2008.txt,10000,40.77,ljournal-2008_output_data_average.csv
ljournal-2008.txt,100000,50.64,ljournal-2008_output_data_average.csv
coPapersCiteseer.txt,100,9.72,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.txt,1000,10.65,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.txt,10000,12.3,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.txt,100000,17.2,coPapersCiteseer_output_data_average.csv
rgg_n_2_24_s0.txt,100,92.82,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.txt,1000,94.2,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.txt,10000,100.52,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.txt,100000,123.73,rgg_n_2_24_s0_output_data_average.csv
com-Orkut.txt,100,44.91,com-Orkut_output_data_average.csv
com-Orkut.txt,1000,54.68,com-Orkut_output_data_average.csv
com-Orkut.txt,10000,60.47,com-Orkut_output_data_average.csv
com-Orkut.txt,100000,71.46,com-Orkut_output_data_average.csv
arabic-2005.txt,100,165.56,arabic-2005_output_data_average.csv
arabic-2005.txt,1000,182.44,arabic-2005_output_data_average.csv
arabic-2005.txt,10000,182.33,arabic-2005_output_data_average.csv
arabic-2005.txt,100000,186.54,arabic-2005_output_data_average.csv
kmer_U1a.txt,100,278.25,kmer_U1a_output_data_average.csv
kmer_U1a.txt,1000,290.54,kmer_U1a_output_data_average.csv
kmer_U1a.txt,10000,302.87,kmer_U1a_output_data_average.csv
kmer_U1a.txt,100000,330.93,kmer_U1a_output_data_average.csv
kmer_V2a.txt,100,212.22,kmer_V2a_output_data_average.csv
kmer_V2a.txt,1000,214.65,kmer_V2a_output_data_average.csv
kmer_V2a.txt,10000,226.64,kmer_V2a_output_data_average.csv
kmer_V2a.txt,100000,243.45,kmer_V2a_output_data_average.csv
uk-2002.txt,100,112.52,uk-2002_output_data_average.csv
uk-2002.txt,1000,117.45,uk-2002_output_data_average.csv
uk-2002.txt,10000,117.14,uk-2002_output_data_average.csv
uk-2002.txt,100000,119.4,uk-2002_output_data_average.csv
indochina-2004.txt,100,54.43,indochina-2004_output_data_average.csv
indochina-2004.txt,1000,66.14,indochina-2004_output_data_average.csv
indochina-2004.txt,10000,66.4,indochina-2004_output_data_average.csv
indochina-2004.txt,100000,62.46,indochina-2004_output_data_average.csv
web-BerkStan.txt,100,9.08,web-BerkStan_output_data_average.csv
web-BerkStan.txt,1000,10.23,web-BerkStan_output_data_average.csv
web-BerkStan.txt,10000,10.72,web-BerkStan_output_data_average.csv
web-BerkStan.txt,100000,12.94,web-BerkStan_output_data_average.csv
wiki-topcats.txt,100,17.99,wiki-topcats_output_data_average.csv
wiki-topcats.txt,1000,19.25,wiki-topcats_output_data_average.csv
wiki-topcats.txt,10000,21.37,wiki-topcats_output_data_average.csv
wiki-topcats.txt,100000,28.24,wiki-topcats_output_data_average.csv
kron_g500-logn19.txt,100,11.48,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.txt,1000,12.26,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.txt,10000,12.36,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.txt,100000,12.29,kron_g500-logn19_output_data_average.csv
higgs-twitter.txt,100,10.08,higgs-twitter_output_data_average.csv
higgs-twitter.txt,1000,11.27,higgs-twitter_output_data_average.csv
higgs-twitter.txt,10000,14.0,higgs-twitter_output_data_average.csv
higgs-twitter.txt,100000,19.04,higgs-twitter_output_data_average.csv
kmer_V1r.txt,100,,kmer_V1r_output_data_average.csv
kmer_V1r.txt,1000,,kmer_V1r_output_data_average.csv
kmer_V1r.txt,10000,,kmer_V1r_output_data_average.csv
kmer_V1r.txt,100000,,kmer_V1r_output_data_average.csv
coPapersDBLP.txt,100,10.42,coPapersDBLP_output_data_average.csv
coPapersDBLP.txt,1000,11.66,coPapersDBLP_output_data_average.csv
coPapersDBLP.txt,10000,14.61,coPapersDBLP_output_data_average.csv
coPapersDBLP.txt,100000,19.06,coPapersDBLP_output_data_average.csv
kron_g500-logn20.txt,100,21.41,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.txt,1000,24.66,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.txt,10000,26.29,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.txt,100000,33.92,kron_g500-logn20_output_data_average.csv
road_usa.txt,100,94.7,road_usa_output_data_average.csv
road_usa.txt,1000,98.03,road_usa_output_data_average.csv
road_usa.txt,10000,105.7,road_usa_output_data_average.csv
road_usa.txt,100000,122.35,road_usa_output_data_average.csv
eu-2005.txt,100,11.86,eu-2005_output_data_average.csv
eu-2005.txt,1000,14.01,eu-2005_output_data_average.csv
eu-2005.txt,10000,14.07,eu-2005_output_data_average.csv
eu-2005.txt,100000,17.77,eu-2005_output_data_average.csv
delaunay_n24.txt,100,69.7,delaunay_n24_output_data_average.csv
delaunay_n24.txt,1000,74.28,delaunay_n24_output_data_average.csv
delaunay_n24.txt,10000,74.67,delaunay_n24_output_data_average.csv
delaunay_n24.txt,100000,92.27,delaunay_n24_output_data_average.csv
uk-2005.txt,100,236.77,uk-2005_output_data_average.csv
uk-2005.txt,1000,277.67,uk-2005_output_data_average.csv
uk-2005.txt,10000,278.48,uk-2005_output_data_average.csv
uk-2005.txt,100000,287.09,uk-2005_output_data_average.csv
kmer_P1a.txt,100,,kmer_P1a_output_data_average.csv
kmer_P1a.txt,1000,,kmer_P1a_output_data_average.csv
kmer_P1a.txt,10000,,kmer_P1a_output_data_average.csv
kmer_P1a.txt,100000,,kmer_P1a_output_data_average.csv
