filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,Pointer Jumping,PR-RST module,update data structure,Path Reversal,Update rep array,Hash Table look up
GAP-road.egr,70585,23947347,57708624,100000,80.1293,54.5,11.0,6.51,6.15,1.13,0.79,0.03,0.02
GAP-road.egr,71009,23947347,57708624,100000,78.722,52.98,11.17,6.51,6.12,1.1,0.78,0.02,0.02
GAP-road.egr,70693,23947347,57708624,100000,78.2225,52.5,11.08,6.51,6.14,1.16,0.79,0.03,0.02
GAP-road.egr,70873,23947347,57708624,100000,79.2689,52.46,10.99,6.51,7.15,1.31,0.8,0.02,0.03
GAP-road.egr,70738,23947347,57708624,100000,81.8473,56.06,10.63,6.51,6.69,1.16,0.75,0.03,0.03
GAP-road.egr,7073,23947347,57708624,10000,76.1928,52.83,10.72,6.17,4.63,1.11,0.67,0.04,0.02
GAP-road.egr,7000,23947347,57708624,10000,74.4611,52.0,10.71,6.17,3.86,1.03,0.64,0.02,0.02
GAP-road.egr,7090,23947347,57708624,10000,74.7741,52.2,10.73,6.18,3.91,1.07,0.64,0.02,0.02
GAP-road.egr,7122,23947347,57708624,10000,79.0814,52.11,10.67,6.17,8.41,1.05,0.64,0.02,0.02
GAP-road.egr,7091,23947347,57708624,10000,74.4673,52.03,10.65,6.18,3.88,1.05,0.64,0.02,0.02
GAP-road.egr,72,23947347,57708624,100,93.2216,53.28,30.9,5.73,1.79,1.1,0.39,0.02,0.02
GAP-road.egr,66,23947347,57708624,100,72.8485,52.39,11.94,5.74,1.37,1.05,0.32,0.02,0.02
GAP-road.egr,66,23947347,57708624,100,71.4764,52.4,10.1,5.73,1.78,1.04,0.38,0.02,0.02
GAP-road.egr,71,23947347,57708624,100,73.602,54.64,10.05,5.73,1.72,1.02,0.41,0.02,0.02
GAP-road.egr,75,23947347,57708624,100,72.0437,53.5,10.05,5.73,1.37,1.01,0.35,0.02,0.02
GAP-road.egr,687,23947347,57708624,1000,76.3457,52.21,10.1,5.88,2.9,4.72,0.49,0.02,0.02
GAP-road.egr,715,23947347,57708624,1000,73.064,53.23,10.03,5.88,2.35,1.04,0.5,0.02,0.02
GAP-road.egr,689,23947347,57708624,1000,72.8648,52.8,10.2,5.88,2.41,1.03,0.5,0.02,0.02
GAP-road.egr,727,23947347,57708624,1000,73.2776,53.33,10.05,5.89,2.34,1.11,0.51,0.02,0.02
GAP-road.egr,716,23947347,57708624,1000,72.5371,52.6,10.05,5.87,2.39,1.09,0.5,0.02,0.02
