filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,Pointer Jumping,PR-RST module,Path Reversal,Hash Table look up,Update rep array
arabic-2005.egr,3528,22744080,1107807202,100000,253.954,191.95,42.56,13.14,4.14,1.76,0.38,0.02,0.02
arabic-2005.egr,3518,22744080,1107807202,100000,262.617,192.86,47.11,14.08,6.02,2.08,0.39,0.03,0.05
arabic-2005.egr,3563,22744080,1107807202,100000,251.593,201.06,33.88,9.94,4.53,1.77,0.38,0.02,0.02
arabic-2005.egr,3523,22744080,1107807202,100000,238.227,192.8,30.2,8.87,4.14,1.8,0.38,0.02,0.02
arabic-2005.egr,3538,22744080,1107807202,100000,260.083,193.22,45.03,13.6,6.04,1.78,0.37,0.02,0.02
arabic-2005.egr,329,22744080,1107807202,10000,247.955,184.24,44.51,13.55,3.98,1.35,0.29,0.02,0.02
arabic-2005.egr,309,22744080,1107807202,10000,247.867,184.37,44.49,13.7,3.99,0.99,0.3,0.02,0.02
arabic-2005.egr,361,22744080,1107807202,10000,263.902,196.99,45.92,13.54,5.8,1.33,0.29,0.02,0.02
arabic-2005.egr,355,22744080,1107807202,10000,241.8,194.26,31.91,9.66,4.3,1.34,0.29,0.02,0.02
arabic-2005.egr,331,22744080,1107807202,10000,243.931,183.62,41.55,13.46,3.99,0.97,0.3,0.01,0.01
arabic-2005.egr,4,22744080,1107807202,100,167.11,120.55,31.21,10.84,3.98,0.35,0.15,0.01,0.01
arabic-2005.egr,6,22744080,1107807202,100,300.321,242.6,41.74,10.64,4.72,0.34,0.26,0.01,0.02
arabic-2005.egr,0,22744080,1107807202,100,156.594,112.08,31.6,8.88,3.98,,,,0.05
arabic-2005.egr,3,22744080,1107807202,100,236.969,177.79,38.32,12.1,6.63,1.88,0.19,0.03,0.02
arabic-2005.egr,5,22744080,1107807202,100,183.31,117.99,45.6,13.42,5.78,0.34,0.15,0.01,0.02
arabic-2005.egr,31,22744080,1107807202,1000,246.767,190.79,37.4,13.35,3.96,0.97,0.24,0.02,0.03
arabic-2005.egr,42,22744080,1107807202,1000,285.634,230.41,38.28,11.09,4.81,0.76,0.25,0.01,0.02
arabic-2005.egr,47,22744080,1107807202,1000,258.716,205.46,34.54,13.71,3.98,0.73,0.27,0.01,0.01
arabic-2005.egr,31,22744080,1107807202,1000,277.314,211.04,45.88,13.39,5.78,0.94,0.26,0.01,0.02
arabic-2005.egr,48,22744080,1107807202,1000,289.407,231.77,39.83,11.54,4.97,1.01,0.25,0.02,0.02
