filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,Pointer Jumping,update data structure,Path Reversal,Update rep array,Hash Table look up
as-Skitter.egr,11489,1696415,22192106,100000,14.8201,7.54,4.36,2.11,0.4,0.32,0.07,0.01,0.01
as-Skitter.egr,11766,1696415,22192106,100000,14.9308,7.66,4.39,2.08,0.39,0.32,0.07,0.01,0.01
as-Skitter.egr,11610,1696415,22192106,100000,14.8054,7.57,4.37,2.08,0.38,0.32,0.07,0.01,0.02
as-Skitter.egr,11675,1696415,22192106,100000,14.8869,7.55,4.41,2.11,0.39,0.32,0.07,0.01,0.01
as-Skitter.egr,11665,1696415,22192106,100000,14.8585,7.63,4.33,2.1,0.38,0.32,0.07,0.01,0.01
as-Skitter.egr,1106,1696415,22192106,10000,13.8742,7.34,4.2,1.6,0.37,0.28,0.06,0.01,0.01
as-Skitter.egr,1150,1696415,22192106,10000,13.3348,7.28,4.17,1.16,0.37,0.28,0.06,0.01,0.01
as-Skitter.egr,1143,1696415,22192106,10000,13.8988,7.4,4.19,1.58,0.36,0.28,0.06,0.01,0.01
as-Skitter.egr,1212,1696415,22192106,10000,13.6815,7.57,4.23,1.14,0.37,0.29,0.06,0.01,0.01
as-Skitter.egr,1136,1696415,22192106,10000,14.3125,7.71,4.24,1.59,0.37,0.3,0.06,0.01,0.02
as-Skitter.egr,18,1696415,22192106,100,15.9269,7.18,7.64,0.4,0.36,0.29,0.05,0.01,0.01
as-Skitter.egr,15,1696415,22192106,100,17.2084,7.41,8.34,0.4,0.58,0.35,0.05,0.06,0.01
as-Skitter.egr,14,1696415,22192106,100,16.8087,7.17,8.57,0.37,0.36,0.27,0.05,0.01,0.01
as-Skitter.egr,18,1696415,22192106,100,15.6417,7.25,7.05,0.65,0.35,0.27,0.05,0.01,0.01
as-Skitter.egr,7,1696415,22192106,100,16.1292,7.43,7.69,0.31,0.35,0.27,0.05,0.01,0.01
as-Skitter.egr,111,1696415,22192106,1000,13.8683,7.41,4.63,1.1,0.36,0.28,0.05,0.01,0.01
as-Skitter.egr,117,1696415,22192106,1000,14.4373,7.77,5.16,0.79,0.36,0.28,0.05,0.01,0.01
as-Skitter.egr,117,1696415,22192106,1000,13.7022,7.71,4.47,0.79,0.36,0.3,0.06,0.01,0.01
as-Skitter.egr,96,1696415,22192106,1000,13.8853,7.71,4.67,0.78,0.36,0.29,0.05,0.01,0.01
as-Skitter.egr,125,1696415,22192106,1000,14.057,7.68,4.85,0.81,0.36,0.29,0.05,0.01,0.01
