filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
coPapersCiteseer.egr,2470,434102,32073440,100000,12.0734,5.6,3.43,2.27,0.48,0.23,0.04,0.01,0.01
coPapersCiteseer.egr,2528,434102,32073440,100000,12.0536,5.6,3.42,2.25,0.49,0.23,0.04,0.01,0.01
coPapersCiteseer.egr,2552,434102,32073440,100000,15.0022,6.27,4.1,1.96,2.33,0.26,0.04,0.01,0.01
coPapersCiteseer.egr,2554,434102,32073440,100000,15.3611,7.47,5.23,1.59,0.67,0.3,0.05,0.02,0.01
coPapersCiteseer.egr,2613,434102,32073440,100000,11.5587,5.57,3.46,1.76,0.48,0.22,0.04,0.01,0.01
coPapersCiteseer.egr,240,434102,32073440,10000,10.324,5.4,3.3,0.89,0.45,0.22,0.03,0.01,0.01
coPapersCiteseer.egr,284,434102,32073440,10000,10.6067,5.45,3.45,0.96,0.46,0.24,0.03,0.01,0.01
coPapersCiteseer.egr,259,434102,32073440,10000,10.8071,5.37,3.39,1.32,0.44,0.22,0.04,0.01,0.01
coPapersCiteseer.egr,252,434102,32073440,10000,10.4308,5.47,3.38,0.86,0.44,0.23,0.03,0.01,0.01
coPapersCiteseer.egr,226,434102,32073440,10000,12.0289,6.14,4.13,0.94,0.5,0.25,0.04,0.02,0.01
coPapersCiteseer.egr,5,434102,32073440,100,18.6288,10.41,7.02,0.37,0.49,0.28,0.04,0.01,0.02
coPapersCiteseer.egr,3,434102,32073440,100,12.2234,7.81,3.44,0.28,0.43,0.22,0.03,0.01,0.01
coPapersCiteseer.egr,0,434102,32073440,100,8.54056,4.4,3.45,,0.46,0.22,,,0.01
coPapersCiteseer.egr,7,434102,32073440,100,11.3296,6.68,3.53,0.32,0.53,0.22,0.03,0.01,0.01
coPapersCiteseer.egr,4,434102,32073440,100,12.8389,8.39,3.41,0.32,0.45,0.22,0.03,0.01,0.01
coPapersCiteseer.egr,38,434102,32073440,1000,10.8572,6.3,3.41,0.43,0.44,0.22,0.03,0.01,0.01
coPapersCiteseer.egr,29,434102,32073440,1000,11.5296,6.67,3.5,0.65,0.44,0.22,0.03,0.01,0.01
coPapersCiteseer.egr,23,434102,32073440,1000,11.3265,6.79,3.41,0.39,0.46,0.22,0.03,0.01,0.01
coPapersCiteseer.egr,27,434102,32073440,1000,11.3104,6.51,3.44,0.64,0.45,0.22,0.03,0.01,0.01
coPapersCiteseer.egr,26,434102,32073440,1000,11.3248,6.56,3.39,0.65,0.44,0.22,0.03,0.01,0.01
