filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
coPapersDBLP.egr,3329,540486,30491458,100000,13.7338,5.74,4.52,2.55,0.56,0.29,0.05,0.02,0.01
coPapersDBLP.egr,3339,540486,30491458,100000,16.2936,6.4,5.37,3.49,0.62,0.32,0.05,0.02,0.01
coPapersDBLP.egr,3442,540486,30491458,100000,11.0986,5.26,3.75,1.29,0.49,0.25,0.04,0.02,0.01
coPapersDBLP.egr,3366,540486,30491458,100000,11.5752,5.19,3.79,1.79,0.48,0.25,0.04,0.01,0.01
coPapersDBLP.egr,3349,540486,30491458,100000,13.6045,6.07,5.01,1.54,0.6,0.3,0.05,0.02,0.01
coPapersDBLP.egr,330,540486,30491458,10000,10.6225,5.15,3.75,0.94,0.47,0.25,0.04,0.01,0.01
coPapersDBLP.egr,341,540486,30491458,10000,10.5706,5.11,3.73,0.93,0.48,0.25,0.04,0.01,0.01
coPapersDBLP.egr,327,540486,30491458,10000,12.3066,5.86,4.55,1.02,0.53,0.28,0.04,0.01,0.01
coPapersDBLP.egr,350,540486,30491458,10000,15.3296,8.93,4.53,1.01,0.52,0.28,0.04,0.01,0.01
coPapersDBLP.egr,328,540486,30491458,10000,10.5964,5.13,3.78,0.93,0.45,0.24,0.04,0.01,0.01
coPapersDBLP.egr,1,540486,30491458,100,14.1995,9.61,3.61,0.24,0.44,0.24,0.03,0.01,0.01
coPapersDBLP.egr,1,540486,30491458,100,14.525,9.74,3.75,0.24,0.5,0.24,0.03,0.01,0.01
coPapersDBLP.egr,1,540486,30491458,100,14.4377,9.73,3.74,0.23,0.44,0.24,0.03,0.01,0.01
coPapersDBLP.egr,3,540486,30491458,100,13.939,9.15,3.73,0.29,0.45,0.25,0.03,0.01,0.01
coPapersDBLP.egr,4,540486,30491458,100,13.4843,8.6,3.77,0.35,0.46,0.26,0.03,0.01,0.01
coPapersDBLP.egr,31,540486,30491458,1000,15.8252,8.65,5.68,0.48,0.62,0.33,0.05,0.01,0.01
coPapersDBLP.egr,33,540486,30491458,1000,12.7442,7.29,4.2,0.44,0.49,0.26,0.04,0.01,0.01
coPapersDBLP.egr,32,540486,30491458,1000,12.7338,7.75,3.8,0.43,0.45,0.24,0.04,0.01,0.01
coPapersDBLP.egr,29,540486,30491458,1000,11.3667,6.43,3.78,0.39,0.46,0.25,0.04,0.01,0.01
coPapersDBLP.egr,37,540486,30491458,1000,11.9009,6.68,3.75,0.7,0.47,0.25,0.04,0.01,0.01
