filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
com-Orkut.egr,2531,3072441,234370166,100000,80.4482,53.23,20.01,3.43,2.46,1.07,0.2,0.02,0.02
com-Orkut.egr,2470,3072441,234370166,100000,75.2726,49.35,19.74,3.33,1.66,0.97,0.18,0.02,0.02
com-Orkut.egr,2516,3072441,234370166,100000,79.594,53.13,20.02,3.37,1.76,1.07,0.2,0.02,0.02
com-Orkut.egr,2476,3072441,234370166,100000,82.686,53.19,20.01,6.33,1.83,1.07,0.21,0.03,0.02
com-Orkut.egr,2521,3072441,234370166,100000,73.7501,47.49,20.04,3.3,1.64,1.07,0.18,0.02,0.02
com-Orkut.egr,240,3072441,234370166,10000,74.7401,49.76,19.79,3.29,0.67,1.04,0.15,0.02,0.01
com-Orkut.egr,254,3072441,234370166,10000,79.4338,53.72,20.01,3.29,1.16,1.04,0.16,0.03,0.02
com-Orkut.egr,261,3072441,234370166,10000,74.203,49.03,20.02,3.15,0.75,1.04,0.16,0.02,0.03
com-Orkut.egr,240,3072441,234370166,10000,75.7565,49.71,20.43,3.16,1.19,1.04,0.16,0.03,0.02
com-Orkut.egr,269,3072441,234370166,10000,75.5173,49.75,20.04,3.24,1.23,1.04,0.16,0.03,0.02
com-Orkut.egr,4,3072441,234370166,100,140.185,115.26,20.05,3.27,0.43,1.02,0.11,0.02,0.02
com-Orkut.egr,4,3072441,234370166,100,154.708,130.03,20.04,3.12,0.37,1.02,0.09,0.02,0.02
com-Orkut.egr,4,3072441,234370166,100,153.414,128.85,19.9,3.1,0.39,1.02,0.11,0.02,0.02
com-Orkut.egr,2,3072441,234370166,100,135.181,110.42,20.02,3.23,0.37,1.02,0.09,0.02,0.01
com-Orkut.egr,5,3072441,234370166,100,138.661,114.17,19.81,3.19,0.38,0.98,0.1,0.02,0.02
com-Orkut.egr,28,3072441,234370166,1000,104.229,79.1,20.05,3.2,0.66,1.03,0.15,0.03,0.02
com-Orkut.egr,23,3072441,234370166,1000,133.955,108.79,20.02,3.15,0.82,1.03,0.12,0.02,0.01
com-Orkut.egr,24,3072441,234370166,1000,112.538,87.54,19.77,3.21,0.82,1.02,0.14,0.02,0.02
com-Orkut.egr,21,3072441,234370166,1000,105.486,79.39,19.99,4.52,0.44,1.02,0.1,0.02,0.01
com-Orkut.egr,25,3072441,234370166,1000,120.232,95.29,20.04,3.19,0.51,1.02,0.14,0.02,0.02
