filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,Pointer Jumping,update data structure,Path Reversal,Hash Table look up,Update rep array
delaunay_n24.egr,35752,16777216,100663202,100000,70.1288,39.26,17.77,5.79,4.88,1.84,0.55,0.02,0.02
delaunay_n24.egr,35860,16777216,100663202,100000,69.4407,38.63,17.75,5.8,4.89,1.77,0.55,0.03,0.02
delaunay_n24.egr,35820,16777216,100663202,100000,69.499,38.81,17.78,5.72,4.88,1.72,0.55,0.03,0.02
delaunay_n24.egr,35542,16777216,100663202,100000,71.3535,38.73,19.53,5.79,4.88,1.84,0.54,0.03,0.02
delaunay_n24.egr,35770,16777216,100663202,100000,70.0816,40.13,17.86,4.92,4.88,1.7,0.55,0.02,0.02
delaunay_n24.egr,3630,16777216,100663202,10000,66.918,38.96,17.43,3.7,4.71,1.66,0.43,0.02,0.02
delaunay_n24.egr,3577,16777216,100663202,10000,68.7431,38.86,19.41,3.72,4.7,1.58,0.43,0.02,0.02
delaunay_n24.egr,3552,16777216,100663202,10000,72.0685,39.47,19.93,5.89,4.71,1.59,0.43,0.02,0.02
delaunay_n24.egr,3559,16777216,100663202,10000,65.8761,39.03,17.09,3.0,4.7,1.58,0.43,0.02,0.02
delaunay_n24.egr,3561,16777216,100663202,10000,65.9317,39.02,17.15,3.0,4.7,1.59,0.43,0.02,0.02
delaunay_n24.egr,33,16777216,100663202,100,62.4202,38.92,16.23,0.88,4.55,1.57,0.23,0.02,0.02
delaunay_n24.egr,33,16777216,100663202,100,62.3423,38.52,16.17,1.24,4.55,1.57,0.26,0.02,0.02
delaunay_n24.egr,33,16777216,100663202,100,62.4126,38.77,16.07,1.23,4.55,1.54,0.22,0.02,0.02
delaunay_n24.egr,35,16777216,100663202,100,62.4486,38.96,15.81,1.17,4.55,1.68,0.24,0.02,0.02
delaunay_n24.egr,39,16777216,100663202,100,62.4025,39.02,16.14,0.89,4.55,1.52,0.24,0.02,0.02
delaunay_n24.egr,365,16777216,100663202,1000,63.8718,38.69,16.98,1.65,4.6,1.6,0.31,0.02,0.02
delaunay_n24.egr,334,16777216,100663202,1000,64.4397,38.75,16.92,2.15,4.6,1.67,0.31,0.02,0.02
delaunay_n24.egr,342,16777216,100663202,1000,67.0376,40.91,17.0,2.64,4.6,1.54,0.32,0.02,0.02
delaunay_n24.egr,375,16777216,100663202,1000,63.7973,38.85,16.8,1.66,4.6,1.55,0.29,0.02,0.02
delaunay_n24.egr,351,16777216,100663202,1000,64.0195,38.92,16.89,1.66,4.6,1.61,0.31,0.02,0.02
