filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,Pointer Jumping,PR-RST module,update data structure,Path Reversal,Update rep array,Hash Table look up
europe_osm.egr,83732,50912018,108109320,100000,132.014,82.05,22.57,16.26,7.45,1.81,1.79,0.04,0.04
europe_osm.egr,83606,50912018,108109320,100000,123.846,79.56,18.69,15.67,6.38,1.77,1.72,0.03,0.03
europe_osm.egr,83865,50912018,108109320,100000,114.469,77.48,15.38,12.85,5.38,1.85,1.45,0.03,0.04
europe_osm.egr,83647,50912018,108109320,100000,126.551,81.26,19.01,16.26,6.43,1.77,1.77,0.03,0.03
europe_osm.egr,83716,50912018,108109320,100000,127.29,81.59,19.12,16.26,6.52,1.93,1.79,0.04,0.04
europe_osm.egr,8342,50912018,108109320,10000,124.292,82.63,18.97,15.29,4.25,1.65,1.46,0.02,0.02
europe_osm.egr,8410,50912018,108109320,10000,109.248,74.76,15.24,12.04,4.23,1.75,1.18,0.03,0.02
europe_osm.egr,8389,50912018,108109320,10000,122.193,80.37,18.99,15.37,4.27,1.68,1.46,0.02,0.02
europe_osm.egr,8394,50912018,108109320,10000,121.371,82.85,16.7,15.55,3.41,1.71,1.09,0.03,0.02
europe_osm.egr,8440,50912018,108109320,10000,123.993,82.04,19.14,15.24,4.31,1.74,1.47,0.03,0.03
europe_osm.egr,80,50912018,108109320,100,117.234,81.39,17.77,14.04,1.39,1.74,0.87,0.02,0.02
europe_osm.egr,84,50912018,108109320,100,118.101,82.56,17.8,14.02,1.02,1.71,0.94,0.03,0.02
europe_osm.egr,88,50912018,108109320,100,117.413,81.93,17.7,14.05,1.04,1.71,0.92,0.03,0.03
europe_osm.egr,74,50912018,108109320,100,117.911,82.07,17.84,14.03,1.42,1.67,0.83,0.02,0.02
europe_osm.egr,78,50912018,108109320,100,113.894,78.48,17.84,14.0,0.99,1.68,0.86,0.02,0.02
europe_osm.egr,842,50912018,108109320,1000,121.826,81.08,17.9,14.56,5.42,1.63,1.18,0.02,0.02
europe_osm.egr,844,50912018,108109320,1000,118.064,80.25,17.83,14.59,2.43,1.7,1.23,0.02,0.02
europe_osm.egr,852,50912018,108109320,1000,119.287,81.23,18.4,14.61,1.95,1.79,1.25,0.03,0.03
europe_osm.egr,834,50912018,108109320,1000,114.691,78.51,17.07,13.86,2.36,1.74,1.11,0.02,0.02
europe_osm.egr,826,50912018,108109320,1000,117.07,79.87,17.27,14.03,2.99,1.7,1.15,0.03,0.03
