filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,PR-RST module,Super graph Creation,Pointer Jumping,Path Reversal,update data structure,Update rep array,Hash Table look up
germany_osm.egr,86267,11548845,24738362,100000,35.6699,23.61,4.69,4.16,2.46,0.36,0.34,0.02,0.02
germany_osm.egr,86232,11548845,24738362,100000,33.4506,21.36,4.72,4.17,2.46,0.36,0.35,0.02,0.02
germany_osm.egr,86102,11548845,24738362,100000,36.6131,23.84,5.37,4.18,2.45,0.36,0.36,0.02,0.02
germany_osm.egr,86006,11548845,24738362,100000,34.2813,21.34,5.58,4.15,2.46,0.36,0.35,0.02,0.02
germany_osm.egr,86364,11548845,24738362,100000,34.8771,21.76,5.54,4.33,2.44,0.38,0.35,0.04,0.02
germany_osm.egr,8580,11548845,24738362,10000,31.7062,21.46,3.16,4.16,2.31,0.27,0.32,0.01,0.01
germany_osm.egr,8624,11548845,24738362,10000,36.9469,21.35,3.37,4.29,7.27,0.28,0.33,0.03,0.02
germany_osm.egr,8601,11548845,24738362,10000,31.6986,21.48,3.16,4.14,2.31,0.27,0.31,0.01,0.01
germany_osm.egr,8616,11548845,24738362,10000,34.2718,23.86,3.23,4.18,2.31,0.28,0.37,0.03,0.02
germany_osm.egr,8695,11548845,24738362,10000,33.0806,21.61,3.17,4.09,2.31,0.27,1.59,0.01,0.01
germany_osm.egr,95,11548845,24738362,100,29.1121,21.25,1.1,4.03,2.24,0.17,0.29,0.01,0.01
germany_osm.egr,91,11548845,24738362,100,30.307,22.51,1.09,4.03,2.19,0.17,0.29,0.01,0.01
germany_osm.egr,84,11548845,24738362,100,28.7935,21.32,0.78,4.02,2.19,0.17,0.29,0.01,0.01
germany_osm.egr,91,11548845,24738362,100,31.6031,21.24,0.8,6.85,2.19,0.17,0.32,0.01,0.01
germany_osm.egr,86,11548845,24738362,100,28.9517,21.49,0.79,4.01,2.19,0.17,0.29,0.01,0.01
germany_osm.egr,877,11548845,24738362,1000,31.7106,22.94,1.88,4.06,2.26,0.23,0.3,0.01,0.01
germany_osm.egr,850,11548845,24738362,1000,31.4596,22.63,1.89,4.1,2.26,0.24,0.31,0.01,0.01
germany_osm.egr,856,11548845,24738362,1000,30.8175,21.65,2.28,4.03,2.26,0.24,0.33,0.01,0.01
germany_osm.egr,861,11548845,24738362,1000,30.0214,21.24,1.9,4.04,2.27,0.24,0.3,0.01,0.01
germany_osm.egr,853,11548845,24738362,1000,31.8805,23.1,1.91,4.03,2.27,0.24,0.3,0.01,0.01
