filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
higgs-twitter.egr,3416,456626,25017136,100000,11.2148,5.54,3.55,1.33,0.48,0.26,0.05,0.01,0.01
higgs-twitter.egr,3492,456626,25017136,100000,14.2815,6.46,5.15,1.61,0.63,0.33,0.06,0.02,0.01
higgs-twitter.egr,3352,456626,25017136,100000,11.2739,5.23,3.87,1.35,0.49,0.26,0.05,0.01,0.01
higgs-twitter.egr,3429,456626,25017136,100000,10.9576,5.09,3.75,1.31,0.48,0.26,0.05,0.01,0.01
higgs-twitter.egr,3421,456626,25017136,100000,11.3955,5.1,3.67,1.82,0.47,0.26,0.05,0.01,0.01
higgs-twitter.egr,340,456626,25017136,10000,11.9304,5.51,4.45,1.05,0.55,0.3,0.05,0.01,0.01
higgs-twitter.egr,360,456626,25017136,10000,10.8242,5.03,3.99,0.98,0.48,0.27,0.04,0.01,0.01
higgs-twitter.egr,386,456626,25017136,10000,10.6875,4.96,3.96,0.98,0.46,0.26,0.04,0.01,0.01
higgs-twitter.egr,360,456626,25017136,10000,13.783,6.31,5.34,1.12,0.61,0.32,0.05,0.01,0.01
higgs-twitter.egr,348,456626,25017136,10000,11.4389,4.95,4.68,1.0,0.48,0.26,0.04,0.01,0.01
higgs-twitter.egr,5,456626,25017136,100,14.1203,9.12,3.91,0.33,0.45,0.26,0.03,0.01,0.01
higgs-twitter.egr,3,456626,25017136,100,15.044,10.31,3.67,0.28,0.46,0.27,0.03,0.01,0.01
higgs-twitter.egr,2,456626,25017136,100,16.3453,11.63,3.69,0.28,0.44,0.25,0.03,0.01,0.01
higgs-twitter.egr,4,456626,25017136,100,13.792,9.01,3.72,0.32,0.44,0.25,0.04,0.01,0.01
higgs-twitter.egr,5,456626,25017136,100,17.1345,12.22,3.67,0.5,0.44,0.25,0.03,0.01,0.01
higgs-twitter.egr,30,456626,25017136,1000,10.5708,5.65,3.72,0.42,0.46,0.26,0.04,0.01,0.01
higgs-twitter.egr,36,456626,25017136,1000,13.7566,7.13,5.16,0.51,0.57,0.31,0.04,0.01,0.01
higgs-twitter.egr,34,456626,25017136,1000,11.3278,5.88,3.93,0.74,0.47,0.26,0.04,0.01,0.01
higgs-twitter.egr,30,456626,25017136,1000,10.3743,5.52,3.71,0.4,0.44,0.25,0.04,0.01,0.01
higgs-twitter.egr,28,456626,25017136,1000,13.4224,7.68,4.1,0.51,0.49,0.58,0.04,0.01,0.01
