filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Update rep array,Hash Table look up
hollywood-2009.egr,1808,1139905,112840436,100000,41.6605,25.63,8.65,5.19,1.57,0.48,0.08,0.04,0.02
hollywood-2009.egr,1847,1139905,112840436,100000,26.551,18.34,5.35,1.26,1.19,0.33,0.05,0.02,0.02
hollywood-2009.egr,1876,1139905,112840436,100000,26.8686,18.28,5.27,1.26,1.64,0.34,0.05,0.02,0.01
hollywood-2009.egr,1869,1139905,112840436,100000,26.6974,18.45,5.4,1.25,1.19,0.33,0.05,0.01,0.01
hollywood-2009.egr,1823,1139905,112840436,100000,26.8896,18.67,5.32,1.29,1.19,0.33,0.05,0.02,0.02
hollywood-2009.egr,201,1139905,112840436,10000,31.0447,23.25,5.33,1.18,0.87,0.34,0.05,0.01,0.01
hollywood-2009.egr,181,1139905,112840436,10000,30.8728,23.02,5.36,1.21,0.88,0.33,0.05,0.01,0.02
hollywood-2009.egr,189,1139905,112840436,10000,31.8692,23.83,5.27,1.28,1.02,0.35,0.08,0.03,0.02
hollywood-2009.egr,217,1139905,112840436,10000,31.5989,22.0,5.88,2.41,0.89,0.34,0.05,0.02,0.02
hollywood-2009.egr,194,1139905,112840436,10000,31.5243,23.7,5.23,1.23,0.92,0.34,0.06,0.02,0.02
hollywood-2009.egr,1,1139905,112840436,100,32.8499,25.62,5.37,1.22,0.24,0.33,0.04,0.01,0.01
hollywood-2009.egr,1,1139905,112840436,100,23.8571,14.26,7.76,1.19,0.25,0.34,0.04,0.01,0.01
hollywood-2009.egr,6,1139905,112840436,100,32.746,25.56,5.27,1.18,0.33,0.32,0.04,0.01,0.01
hollywood-2009.egr,1,1139905,112840436,100,31.2662,24.05,5.4,1.17,0.25,0.33,0.04,0.01,0.01
hollywood-2009.egr,1,1139905,112840436,100,20.5893,13.29,5.49,1.18,0.24,0.32,0.04,0.01,0.01
hollywood-2009.egr,14,1139905,112840436,1000,39.2052,31.9,5.35,1.19,0.36,0.33,0.04,0.01,0.01
hollywood-2009.egr,17,1139905,112840436,1000,36.5232,29.43,5.12,1.17,0.41,0.32,0.04,0.01,0.01
hollywood-2009.egr,20,1139905,112840436,1000,36.1576,28.51,5.42,1.18,0.65,0.33,0.05,0.01,0.01
hollywood-2009.egr,22,1139905,112840436,1000,35.1864,27.71,5.41,1.25,0.41,0.33,0.04,0.01,0.01
hollywood-2009.egr,13,1139905,112840436,1000,59.7907,47.94,8.59,1.88,0.77,0.48,0.08,0.03,0.02
