filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,Pointer Jumping,PR-RST module,update data structure,Path Reversal,Hash Table look up,Update rep array
hugebubbles-00020.egr,67986,21198119,63580358,100000,89.5175,60.65,12.27,8.05,6.09,1.23,1.18,0.03,0.02
hugebubbles-00020.egr,67873,21198119,63580358,100000,90.9538,61.16,12.66,8.37,6.26,1.24,1.22,0.03,0.03
hugebubbles-00020.egr,68007,21198119,63580358,100000,92.7018,62.67,12.72,8.37,6.33,1.31,1.23,0.03,0.03
hugebubbles-00020.egr,68009,21198119,63580358,100000,91.8967,61.58,12.93,8.37,6.34,1.38,1.22,0.03,0.04
hugebubbles-00020.egr,68076,21198119,63580358,100000,91.1667,61.2,12.7,8.39,6.29,1.32,1.22,0.03,0.03
hugebubbles-00020.egr,6753,21198119,63580358,10000,87.6093,62.45,12.27,7.44,3.33,1.22,0.85,0.03,0.02
hugebubbles-00020.egr,6752,21198119,63580358,10000,88.9117,63.11,12.32,7.44,4.02,1.14,0.84,0.02,0.02
hugebubbles-00020.egr,6700,21198119,63580358,10000,86.78,61.01,12.26,7.43,3.99,1.23,0.83,0.02,0.02
hugebubbles-00020.egr,6750,21198119,63580358,10000,88.0949,62.09,12.33,7.43,4.12,1.22,0.85,0.02,0.03
hugebubbles-00020.egr,6829,21198119,63580358,10000,88.5106,62.83,12.25,7.43,3.98,1.14,0.85,0.02,0.02
hugebubbles-00020.egr,74,21198119,63580358,100,81.7254,60.95,10.27,6.96,1.97,1.1,0.43,0.02,0.02
hugebubbles-00020.egr,66,21198119,63580358,100,82.3638,61.27,10.23,6.63,1.63,2.15,0.42,0.02,0.02
hugebubbles-00020.egr,68,21198119,63580358,100,83.91,62.51,11.43,6.96,1.37,1.13,0.46,0.02,0.02
hugebubbles-00020.egr,68,21198119,63580358,100,81.8515,61.91,10.58,6.42,1.31,1.15,0.46,0.02,0.02
hugebubbles-00020.egr,68,21198119,63580358,100,84.2044,62.75,11.44,6.98,1.36,1.14,0.5,0.02,0.02
hugebubbles-00020.egr,699,21198119,63580358,1000,83.8708,61.79,11.2,6.98,1.91,1.27,0.68,0.03,0.03
hugebubbles-00020.egr,676,21198119,63580358,1000,85.5203,62.67,11.4,7.2,2.39,1.13,0.7,0.02,0.02
hugebubbles-00020.egr,679,21198119,63580358,1000,82.8278,60.79,11.39,7.21,1.62,1.18,0.59,0.02,0.02
hugebubbles-00020.egr,673,21198119,63580358,1000,88.0463,62.27,13.99,7.19,2.53,1.31,0.71,0.03,0.02
hugebubbles-00020.egr,696,21198119,63580358,1000,83.6443,61.15,11.54,7.2,1.88,1.14,0.69,0.02,0.02
