filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
indochina-2004.egr,3854,7414866,301970226,100000,113.878,82.08,23.65,4.09,2.16,1.68,0.18,0.02,0.02
indochina-2004.egr,4024,7414866,301970226,100000,122.978,90.59,23.94,4.02,2.38,1.84,0.15,0.02,0.03
indochina-2004.egr,3970,7414866,301970226,100000,102.98,71.59,23.31,4.1,1.95,1.84,0.16,0.02,0.02
indochina-2004.egr,3929,7414866,301970226,100000,108.621,73.91,24.35,6.31,2.01,1.84,0.16,0.02,0.02
indochina-2004.egr,3909,7414866,301970226,100000,117.977,85.46,24.16,4.05,2.3,1.84,0.14,0.02,0.02
indochina-2004.egr,396,7414866,301970226,10000,110.946,79.32,23.7,4.19,1.79,1.78,0.12,0.02,0.02
indochina-2004.egr,370,7414866,301970226,10000,116.567,85.59,23.78,4.04,1.19,1.78,0.15,0.02,0.02
indochina-2004.egr,379,7414866,301970226,10000,105.883,74.62,24.44,3.91,0.98,1.79,0.11,0.02,0.02
indochina-2004.egr,364,7414866,301970226,10000,111.402,80.2,23.9,4.34,1.03,1.79,0.11,0.02,0.02
indochina-2004.egr,377,7414866,301970226,10000,86.2972,55.28,23.53,3.97,1.55,1.78,0.13,0.02,0.03
indochina-2004.egr,3,7414866,301970226,100,70.9637,40.84,23.93,3.95,0.34,1.78,0.1,0.02,0.02
indochina-2004.egr,3,7414866,301970226,100,70.7931,40.86,23.78,3.9,0.35,1.77,0.1,0.02,0.02
indochina-2004.egr,3,7414866,301970226,100,72.6314,39.18,23.48,4.01,3.54,1.93,0.33,0.15,0.02
indochina-2004.egr,2,7414866,301970226,100,70.6331,40.71,23.73,3.93,0.35,1.78,0.1,0.02,0.02
indochina-2004.egr,4,7414866,301970226,100,71.5284,41.15,24.2,3.87,0.4,1.78,0.1,0.02,0.02
indochina-2004.egr,46,7414866,301970226,1000,84.7411,54.0,24.0,4.02,0.8,1.77,0.11,0.02,0.02
indochina-2004.egr,33,7414866,301970226,1000,83.0319,52.26,23.74,3.99,1.12,1.77,0.1,0.02,0.02
indochina-2004.egr,30,7414866,301970226,1000,87.8006,57.38,23.91,4.06,0.5,1.79,0.11,0.02,0.03
indochina-2004.egr,39,7414866,301970226,1000,84.3465,54.03,23.68,3.99,0.76,1.78,0.08,0.02,0.02
indochina-2004.egr,33,7414866,301970226,1000,71.2026,41.5,23.2,3.99,0.59,1.78,0.1,0.02,0.02
